================================================================================
CRAWLER V2
================================================================================
Fuente: ASFI / Finrural
URL configurada: https://www.asfi.gob.bo
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.asfi.gob.bo
  Utilizada: https://www.asfi.gob.bo/
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.asfi.gob.bo/

URL de trabajo: https://www.asfi.gob.bo/
Seeds: 1
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[FULL_10_ASFI_FINRURAL] t=  81.4s | pag= 76 | files= 394 | data=  5 | cola= 189 | prio=40 | https://www.asfi.gob.bo/auditorias?page=4
[FULL_10_ASFI_FINRURAL] t=  81.8s | pag= 77 | files= 396 | data=  5 | cola= 188 | prio=40 | https://www.asfi.gob.bo/auditorias?page=0
[FULL_10_ASFI_FINRURAL] t=  82.5s | pag= 78 | files= 396 | data=  5 | cola= 187 | prio=50 | https://www.asfi.gob.bo/pb/gestion-denuncias-actoshechos-corrupcion
[FULL_10_ASFI_FINRURAL] t=  82.9s | pag= 79 | files= 397 | data=  5 | cola= 186 | prio=50 | https://www.asfi.gob.bo/form/solicitud-de-informacion
[FULL_10_ASFI_FINRURAL] t=  83.5s | pag= 80 | files= 397 | data=  5 | cola= 185 | prio=50 | https://www.asfi.gob.bo/rendicion
[FULL_10_ASFI_FINRURAL] t=  84.3s | pag= 81 | files= 407 | data=  5 | cola= 186 | prio=40 | https://www.asfi.gob.bo/rendicion?page=1
[FULL_10_ASFI_FINRURAL] t=  84.7s | pag= 82 | files= 424 | data=  5 | cola= 186 | prio=40 | https://www.asfi.gob.bo/rendicion?page=2
[FULL_10_ASFI_FINRURAL] t=  85.6s | pag= 83 | files= 434 | data=  5 | cola= 185 | prio=40 | https://www.asfi.gob.bo/rendicion?page=0
[FULL_10_ASFI_FINRURAL] t=  85.9s | pag= 84 | files= 434 | data=  5 | cola= 184 | prio=50 | https://www.asfi.gob.bo/la/programa-tranca-cero
[FULL_10_ASFI_FINRURAL] t=  86.4s | pag= 85 | files= 436 | data=  5 | cola= 183 | prio=50 | https://www.asfi.gob.bo/p-gina-de-notas-de-prensa
[FULL_10_ASFI_FINRURAL] t=  87.4s | pag= 86 | files= 436 | data=  5 | cola= 190 | prio=40 | https://www.asfi.gob.bo/p-gina-de-notas-de-prensa?page=1
[FULL_10_ASFI_FINRURAL] t=  87.8s | pag= 87 | files= 436 | data=  5 | cola= 199 | prio=40 | https://www.asfi.gob.bo/p-gina-de-notas-de-prensa?page=2
[FULL_10_ASFI_FINRURAL] t=  88.4s | pag= 88 | files= 436 | data=  5 | cola= 205 | prio=40 | https://www.asfi.gob.bo/p-gina-de-notas-de-prensa?page=0
[FULL_10_ASFI_FINRURAL] t=  89.1s | pag= 89 | files= 436 | data=  5 | cola= 204 | prio=50 | https://www.asfi.gob.bo/pagina-de-revistas
[FULL_10_ASFI_FINRURAL] t=  89.9s | pag= 90 | files= 438 | data=  5 | cola= 203 | prio=50 | https://www.asfi.gob.bo/pb/trabajos-investigacion
[FULL_10_ASFI_FINRURAL] t=  90.9s | pag= 91 | files= 438 | data=  5 | cola= 205 | prio=10 | https://www.asfi.gob.bo/pb/publicaciones
[FULL_10_ASFI_FINRURAL] t=  91.7s | pag= 92 | files= 442 | data=  5 | cola= 204 | prio=10 | https://www.asfi.gob.bo/pagina-de-otras-publicaciones
[FULL_10_ASFI_FINRURAL] t=  92.2s | pag= 93 | files= 444 | data=  5 | cola= 203 | prio=50 | https://www.asfi.gob.bo/pagina-lista-articulos
[FULL_10_ASFI_FINRURAL] t=  92.8s | pag= 94 | files= 453 | data=  5 | cola= 211 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=1
[FULL_10_ASFI_FINRURAL] t=  93.4s | pag= 95 | files= 462 | data=  5 | cola= 211 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=2
[FULL_10_ASFI_FINRURAL] t=  93.9s | pag= 96 | files= 471 | data=  5 | cola= 210 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=3
[FULL_10_ASFI_FINRURAL] t=  94.7s | pag= 97 | files= 480 | data=  5 | cola= 209 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=4
[FULL_10_ASFI_FINRURAL] t=  95.1s | pag= 98 | files= 489 | data=  5 | cola= 208 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=5
[FULL_10_ASFI_FINRURAL] t=  96.2s | pag= 99 | files= 498 | data=  5 | cola= 208 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=6
[FULL_10_ASFI_FINRURAL] t=  96.9s | pag=100 | files= 506 | data=  5 | cola= 208 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=7
[FULL_10_ASFI_FINRURAL] t=  97.6s | pag=101 | files= 512 | data=  5 | cola= 208 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=8
[FULL_10_ASFI_FINRURAL] t=  98.1s | pag=102 | files= 521 | data=  5 | cola= 208 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=40
[FULL_10_ASFI_FINRURAL] t=  98.7s | pag=103 | files= 522 | data=  5 | cola= 215 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=0
[FULL_10_ASFI_FINRURAL] t=  99.7s | pag=104 | files= 522 | data=  5 | cola= 214 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=9
[FULL_10_ASFI_FINRURAL] t= 100.1s | pag=105 | files= 528 | data=  5 | cola= 214 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=10
[FULL_10_ASFI_FINRURAL] t= 100.7s | pag=106 | files= 531 | data=  5 | cola= 214 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=11
[FULL_10_ASFI_FINRURAL] t= 101.7s | pag=107 | files= 535 | data=  5 | cola= 214 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=12
[FULL_10_ASFI_FINRURAL] t= 102.6s | pag=108 | files= 535 | data=  5 | cola= 214 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=39
[FULL_10_ASFI_FINRURAL] t= 103.4s | pag=109 | files= 544 | data=  5 | cola= 213 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=32
[FULL_10_ASFI_FINRURAL] t= 104.0s | pag=110 | files= 553 | data=  5 | cola= 216 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=33
[FULL_10_ASFI_FINRURAL] t= 104.4s | pag=111 | files= 562 | data=  5 | cola= 215 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=34
[FULL_10_ASFI_FINRURAL] t= 105.1s | pag=112 | files= 571 | data=  5 | cola= 214 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=35
[FULL_10_ASFI_FINRURAL] t= 105.9s | pag=113 | files= 580 | data=  5 | cola= 213 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=36
[FULL_10_ASFI_FINRURAL] t= 106.8s | pag=114 | files= 588 | data=  5 | cola= 212 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=37
[FULL_10_ASFI_FINRURAL] t= 108.0s | pag=115 | files= 597 | data=  5 | cola= 211 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=38
[FULL_10_ASFI_FINRURAL] t= 108.5s | pag=116 | files= 606 | data=  5 | cola= 210 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=13
[FULL_10_ASFI_FINRURAL] t= 109.4s | pag=117 | files= 615 | data=  5 | cola= 210 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=14
[FULL_10_ASFI_FINRURAL] t= 110.3s | pag=118 | files= 624 | data=  5 | cola= 210 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=15
[FULL_10_ASFI_FINRURAL] t= 110.7s | pag=119 | files= 633 | data=  5 | cola= 210 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=16
[FULL_10_ASFI_FINRURAL] t= 111.6s | pag=120 | files= 642 | data=  5 | cola= 210 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=31
[FULL_10_ASFI_FINRURAL] t= 112.4s | pag=121 | files= 651 | data=  5 | cola= 210 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=28
[FULL_10_ASFI_FINRURAL] t= 113.3s | pag=122 | files= 660 | data=  5 | cola= 212 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=29
[FULL_10_ASFI_FINRURAL] t= 114.2s | pag=123 | files= 669 | data=  5 | cola= 211 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=30
[FULL_10_ASFI_FINRURAL] t= 115.4s | pag=124 | files= 678 | data=  5 | cola= 210 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=17
[FULL_10_ASFI_FINRURAL] t= 116.1s | pag=125 | files= 687 | data=  5 | cola= 210 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=18
[FULL_10_ASFI_FINRURAL] t= 116.8s | pag=126 | files= 696 | data=  5 | cola= 210 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=19
[FULL_10_ASFI_FINRURAL] t= 117.9s | pag=127 | files= 705 | data=  5 | cola= 210 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=20
[FULL_10_ASFI_FINRURAL] t= 118.7s | pag=128 | files= 714 | data=  5 | cola= 209 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=27
[FULL_10_ASFI_FINRURAL] t= 119.6s | pag=129 | files= 723 | data=  5 | cola= 208 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=24
[FULL_10_ASFI_FINRURAL] t= 120.1s | pag=130 | files= 732 | data=  5 | cola= 207 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=25
[FULL_10_ASFI_FINRURAL] t= 120.6s | pag=131 | files= 741 | data=  5 | cola= 206 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=26
[FULL_10_ASFI_FINRURAL] t= 121.2s | pag=132 | files= 750 | data=  5 | cola= 205 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=21
[FULL_10_ASFI_FINRURAL] t= 122.2s | pag=133 | files= 759 | data=  5 | cola= 204 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=22
[FULL_10_ASFI_FINRURAL] t= 122.6s | pag=134 | files= 768 | data=  5 | cola= 203 | prio=40 | https://www.asfi.gob.bo/pagina-lista-articulos?page=23
[FULL_10_ASFI_FINRURAL] t= 123.1s | pag=135 | files= 777 | data=  5 | cola= 202 | prio=50 | https://www.asfi.gob.bo/pagina-lista-campanias
[FULL_10_ASFI_FINRURAL] t= 123.8s | pag=136 | files= 777 | data=  5 | cola= 213 | prio=40 | https://www.asfi.gob.bo/pagina-lista-campanias?page=1
[FULL_10_ASFI_FINRURAL] t= 124.3s | pag=137 | files= 777 | data=  5 | cola= 222 | prio=40 | https://www.asfi.gob.bo/pagina-lista-campanias?page=2
