================================================================================
CRAWLER V2
================================================================================
Fuente: Autoridad de Supervisión del Sistema Financiero
URL configurada: https://www.asfi.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.asfi.gob.bo/
  Utilizada: https://www.asfi.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.asfi.gob.bo/

URL de trabajo: https://www.asfi.gob.bo/
Seeds: 5
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[ASFI] t= 172.9s | pag=137 | files= 739 | data=  3 | cola= 300 | prio= 2 | https://asfi.gob.bo/pb/estadisticas-intermediacion-financiera
[ASFI] t= 173.3s | pag=138 | files= 739 | data=  3 | cola= 310 | prio= 2 | https://asfi.gob.bo/pb/estadisticas-mercado-valores
[ASFI] t= 173.9s | pag=139 | files= 739 | data=  3 | cola= 314 | prio= 2 | https://asfi.gob.bo/pb/datos-sobre-reclamos-y-consultas-atendidas
[ASFI] t= 174.5s | pag=140 | files= 739 | data=  3 | cola= 315 | prio= 2 | https://asfi.gob.bo/la/estadisticas-sobre-supervision-legitimacion-ganancias-ilicitas-y-financiamiento-del-terrorismo
[ASFI] DATASETS=4 | data_html_table | https://asfi.gob.bo/la/estadisticas-sobre-supervision-legitimacion-ganancias-ilicitas-y-financiamiento-del-terrorismo
[ASFI] t= 175.3s | pag=141 | files= 742 | data=  4 | cola= 314 | prio= 2 | https://asfi.gob.bo/pb/boletines-estadisticos
[ASFI] t= 177.2s | pag=142 | files= 743 | data=  4 | cola= 326 | prio= 2 | https://asfi.gob.bo/la/principales-indicadores-financieros
[ASFI] t= 178.4s | pag=143 | files= 743 | data=  4 | cola= 325 | prio= 2 | https://asfi.gob.bo/pb/boletines-estadisticos-mercado-valores
[ASFI] t= 179.2s | pag=144 | files= 743 | data=  4 | cola= 335 | prio= 2 | https://asfi.gob.bo/la/reportes-dinamicos
[ASFI] t= 180.1s | pag=145 | files= 743 | data=  4 | cola= 334 | prio= 2 | https://asfi.gob.bo/pb/estadisticas-reclamos
[ASFI] t= 181.3s | pag=146 | files= 743 | data=  4 | cola= 372 | prio=10 | https://asfi.gob.bo/pb/boletin-trimestral-actualizacion-y-emision-normativa
[ASFI] t= 181.6s | pag=147 | files= 743 | data=  4 | cola= 389 | prio=10 | https://asfi.gob.bo/pb/puntos-atenci%C3%B3n-financiera
[ASFI] t= 182.3s | pag=148 | files= 743 | data=  4 | cola= 391 | prio=10 | https://asfi.gob.bo/pagina-lista-boletines
[ASFI] t= 183.2s | pag=149 | files= 752 | data=  4 | cola= 392 | prio=10 | https://asfi.gob.bo/la/hechos-relevantes
[ASFI] t= 184.0s | pag=150 | files= 752 | data=  4 | cola= 403 | prio=10 | https://asfi.gob.bo/node/1008
[ASFI] t= 184.6s | pag=151 | files= 753 | data=  4 | cola= 402 | prio=10 | https://asfi.gob.bo/node/1011
[ASFI] t= 185.4s | pag=152 | files= 753 | data=  4 | cola= 401 | prio=10 | https://asfi.gob.bo/node/1006
[ASFI] t= 199.0s | pag=153 | files= 770 | data=  4 | cola= 400 | prio=10 | https://asfi.gob.bo/pb/entidades-financieras-vivienda
[ASFI] t= 199.7s | pag=154 | files= 770 | data=  4 | cola= 399 | prio=10 | https://asfi.gob.bo/pb/instituciones-financieras-desarrollo
[ASFI] t= 200.3s | pag=155 | files= 770 | data=  4 | cola= 398 | prio=10 | https://asfi.gob.bo/la/1deg-reclamos-recibidos-entidades-financieras-primera-instancia-2026
[ASFI] t= 203.9s | pag=156 | files= 772 | data=  4 | cola= 397 | prio=10 | https://asfi.gob.bo/node/959
[ASFI] t= 206.8s | pag=157 | files= 774 | data=  4 | cola= 396 | prio=10 | https://asfi.gob.bo/node/962
[ASFI] t= 207.6s | pag=158 | files= 776 | data=  4 | cola= 395 | prio=10 | https://asfi.gob.bo/node/965
[ASFI] t= 208.2s | pag=159 | files= 778 | data=  4 | cola= 394 | prio=10 | https://asfi.gob.bo/node/968
[ASFI] t= 208.9s | pag=160 | files= 780 | data=  4 | cola= 393 | prio=10 | https://asfi.gob.bo/node/971
[ASFI] t= 209.9s | pag=161 | files= 782 | data=  4 | cola= 392 | prio=10 | https://asfi.gob.bo/node/974
[ASFI] t= 210.6s | pag=162 | files= 784 | data=  4 | cola= 391 | prio=10 | https://asfi.gob.bo/node/977
[ASFI] t= 211.2s | pag=163 | files= 786 | data=  4 | cola= 390 | prio=10 | https://asfi.gob.bo/node/980
[ASFI] t= 212.3s | pag=164 | files= 788 | data=  4 | cola= 389 | prio=10 | https://asfi.gob.bo/node/983
[ASFI] t= 213.2s | pag=165 | files= 790 | data=  4 | cola= 388 | prio=10 | https://asfi.gob.bo/node/986
[ASFI] t= 213.9s | pag=166 | files= 792 | data=  4 | cola= 387 | prio=10 | https://asfi.gob.bo/node/989
[ASFI] t= 214.8s | pag=167 | files= 794 | data=  4 | cola= 386 | prio=10 | https://asfi.gob.bo/node/992
