================================================================================
CRAWLER V2
================================================================================
Fuente: Fundación para el Desarrollo Tecnológico Agropecuario de los Valles
URL configurada: https://www.icco.org
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.icco.org
  Utilizada: https://www.icco.org/
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.icco.org/

URL de trabajo: https://www.icco.org/
Seeds: 1
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[FULL_26_FDTA_VALLES] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.icco.org/
[FULL_26_FDTA_VALLES] t= 160.4s | pag= 62 | files=  45 | data=  9 | cola= 102 | prio=50 | https://www.icco.org/icco-documentation/world-cocoa-conference-2018-berlin/
[FULL_26_FDTA_VALLES] t= 162.7s | pag= 63 | files=  86 | data=  9 | cola= 102 | prio=50 | https://www.icco.org/icco-documentation/world-cocoa-conference-2016-bavaro/
[FULL_26_FDTA_VALLES] t= 164.8s | pag= 64 | files= 139 | data=  9 | cola= 102 | prio=50 | https://www.icco.org/icco-documentation/world-cocoa-conference-amsterdam-2014/
[FULL_26_FDTA_VALLES] t= 167.4s | pag= 65 | files= 202 | data=  9 | cola= 102 | prio=50 | https://www.icco.org/icco-documentation/world-cocoa-conference-2012-abidjan/
[FULL_26_FDTA_VALLES] t= 169.6s | pag= 66 | files= 290 | data=  9 | cola= 102 | prio=50 | https://icco.org/icco-documentation/international-cocoa-symposium-2017/
[FULL_26_FDTA_VALLES] t= 172.5s | pag= 67 | files= 369 | data=  9 | cola= 103 | prio=50 | https://www.icco.org/icco-documentation/pesticide-use-in-cocoa-practial-manual-fourth-edition/
[FULL_26_FDTA_VALLES] t= 173.9s | pag= 68 | files= 371 | data=  9 | cola= 104 | prio=10 | https://www.icco.org/guide-pesticide-eng-v10/
[FULL_26_FDTA_VALLES] t= 175.8s | pag= 68 | files= 371 | data=  9 | cola= 103 | prio=50 | https://www.icco.org/icco-documentation/world-cocoa-directory-2019-20/
[FULL_26_FDTA_VALLES] t= 178.8s | pag= 69 | files= 372 | data=  9 | cola= 104 | prio=50 | https://www.icco.org/icco-documentation/cocoa-market-review/
[FULL_26_FDTA_VALLES] t= 180.2s | pag= 70 | files= 373 | data=  9 | cola= 104 | prio=50 | https://www.icco.org/icco-documentation/proceedings-of-the-international-symposium-on-cocoa-research-2022/
