================================================================================
CRAWLER V2
================================================================================
Fuente: Banco Central de Bolivia
URL configurada: https://www.bcb.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.bcb.gob.bo/
  Utilizada: https://www.bcb.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.bcb.gob.bo/

URL de trabajo: https://www.bcb.gob.bo/
Seeds: 1
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[BCB] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.bcb.gob.bo/
[BCB] t= 504.2s | pag= 83 | files=1245 | data=  6 | cola= 206 | prio= 2 | https://www.bcb.gob.bo/?page=5&q=pub_boletin-estadistico
[BCB] t= 505.6s | pag= 84 | files=1255 | data=  6 | cola= 205 | prio= 2 | https://www.bcb.gob.bo/?page=6&q=pub_boletin-estadistico
[BCB] t= 507.2s | pag= 85 | files=1279 | data=  6 | cola= 204 | prio= 2 | https://www.bcb.gob.bo/?page=7&q=pub_boletin-estadistico
[BCB] t= 509.0s | pag= 86 | files=1429 | data=  6 | cola= 203 | prio= 2 | https://www.bcb.gob.bo/?page=8&q=pub_boletin-estadistico
[BCB] t= 510.5s | pag= 87 | files=1534 | data=  6 | cola= 202 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=publicaciones_dtr
[BCB] t= 511.7s | pag= 88 | files=1540 | data=  6 | cola= 207 | prio= 2 | https://www.bcb.gob.bo/?page=9&q=moneda-mercado-semanal
[BCB] t= 513.1s | pag= 89 | files=1550 | data=  6 | cola= 207 | prio= 2 | https://www.bcb.gob.bo/?page=10&q=moneda-mercado-semanal
[BCB] t= 514.6s | pag= 90 | files=1560 | data=  6 | cola= 207 | prio= 2 | https://www.bcb.gob.bo/?page=11&q=moneda-mercado-semanal
[BCB] t= 516.0s | pag= 91 | files=1570 | data=  6 | cola= 207 | prio= 2 | https://www.bcb.gob.bo/?page=12&q=moneda-mercado-semanal
[BCB] t= 517.8s | pag= 92 | files=1580 | data=  6 | cola= 207 | prio= 2 | https://www.bcb.gob.bo/?page=109&q=moneda-mercado-semanal
