================================================================================
CRAWLER V2
================================================================================
Fuente: Banco Central de Bolivia
URL configurada: https://www.bcb.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.bcb.gob.bo/
  Utilizada: https://www.bcb.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.bcb.gob.bo/

URL de trabajo: https://www.bcb.gob.bo/
Seeds: 1
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[BCB] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.bcb.gob.bo/
[BCB] t= 430.3s | pag= 45 | files= 831 | data=  4 | cola= 200 | prio= 2 | https://www.bcb.gob.bo/?page=2&q=informe-de-estabilidad-financiera
[BCB] t= 431.9s | pag= 46 | files= 841 | data=  4 | cola= 199 | prio= 2 | https://www.bcb.gob.bo/?page=3&q=informe-de-estabilidad-financiera
[BCB] t= 433.5s | pag= 47 | files= 850 | data=  4 | cola= 198 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=boletines-mensuales
[BCB] t= 435.2s | pag= 48 | files= 862 | data=  4 | cola= 197 | prio= 2 | https://www.bcb.gob.bo/?page=2&q=boletines-mensuales
[BCB] t= 437.0s | pag= 49 | files= 874 | data=  4 | cola= 196 | prio= 2 | https://www.bcb.gob.bo/?page=3&q=boletines-mensuales
[BCB] t= 438.5s | pag= 50 | files= 886 | data=  4 | cola= 195 | prio= 2 | https://www.bcb.gob.bo/?page=4&q=boletines-mensuales
[BCB] t= 440.1s | pag= 51 | files= 898 | data=  4 | cola= 194 | prio= 2 | https://www.bcb.gob.bo/?page=5&q=boletines-mensuales
[BCB] t= 441.4s | pag= 52 | files= 910 | data=  4 | cola= 194 | prio= 2 | https://www.bcb.gob.bo/?page=6&q=boletines-mensuales
[BCB] t= 443.0s | pag= 53 | files= 922 | data=  4 | cola= 194 | prio= 2 | https://www.bcb.gob.bo/?page=7&q=boletines-mensuales
[BCB] t= 444.5s | pag= 54 | files= 934 | data=  4 | cola= 194 | prio= 2 | https://www.bcb.gob.bo/?page=8&q=boletines-mensuales
