================================================================================
CRAWLER V2
================================================================================
Fuente: Bureau of Transportation Statistics - TranStats
URL configurada: https://www.transtats.bts.gov/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://www.transtats.bts.gov/
  Utilizada: https://www.transtats.bts.gov/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.transtats.bts.gov/

URL de trabajo: https://www.transtats.bts.gov/
Seeds: 3
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[TRANSTATS] t=  41.0s | pag= 48 | files=   2 | data=  4 | cola= 367 | prio= 1 | https://www.transtats.bts.gov/DatabaseInfo.asp?QO_VQ=JID&QO_anzr=Nv4%EF%BF%BDPn44vr4%EF%BF%BDer2146%EF%BF%BD%25FLS14z%EF%BF%BDFMLP%25FM&QO_fu146_anzr=S14z%EF%BF%BDFMLP&Yv0x=D
[TRANSTATS] DATASETS=5 | database_dataset | https://www.transtats.bts.gov/DatabaseInfo.asp?QO_VQ=JID&QO_anzr=Nv4%EF%BF%BDPn44vr4%EF%BF%BDer2146%EF%BF%BD%25FLS14z%EF%BF%BDFMLP%25FM&QO_fu146_anzr=S14z%EF%BF%BDFMLP&Yv0x=D
[TRANSTATS] t=  41.8s | pag= 49 | files=   2 | data=  5 | cola= 367 | prio= 1 | https://www.transtats.bts.gov/Tables.asp?QO_VQ=EED&QO_anzr=Nv4%EF%BF%BDPn44vr4%EF%BF%BDf6n6v56vp5%EF%BF%BD%25FLS14z%EF%BF%BDHE%EF%BF%BDg4nssvp%25FM-%EF%BF%BD%EF%BF%BDh.f.%EF%BF%BDPn44vr45&QO_fu146_anzr=Nv4%EF%BF%BDPn44vr45
[TRANSTATS] t=  42.4s | pag= 50 | files=   2 | data=  5 | cola= 391 | prio= 1 | https://www.transtats.bts.gov/DatabaseInfo.asp?QO_VQ=EED&QO_anzr=Nv4%EF%BF%BDPn44vr4%EF%BF%BDf6n6v56vp5%EF%BF%BD%25FLS14z%EF%BF%BDHE%EF%BF%BDg4nssvp%25FM-%EF%BF%BD%EF%BF%BDh.f.%EF%BF%BDPn44vr45&QO_fu146_anzr=Nv4%EF%BF%BDPn44vr45&Yv0x=D
[TRANSTATS] DATASETS=6 | database_dataset | https://www.transtats.bts.gov/DatabaseInfo.asp?QO_VQ=EED&QO_anzr=Nv4%EF%BF%BDPn44vr4%EF%BF%BDf6n6v56vp5%EF%BF%BD%25FLS14z%EF%BF%BDHE%EF%BF%BDg4nssvp%25FM-%EF%BF%BD%EF%BF%BDh.f.%EF%BF%BDPn44vr45&QO_fu146_anzr=Nv4%EF%BF%BDPn44vr45&Yv0x=D
[TRANSTATS] t=  43.5s | pag= 51 | files=   3 | data=  6 | cola= 398 | prio= 1 | https://www.transtats.bts.gov/Tables.asp?QO_VQ=EEE&QO_anzr=Nv4%EF%BF%BDPn44vr4%EF%BF%BDf6n6v56vp5%EF%BF%BD%25FLS14z%EF%BF%BDHE%EF%BF%BDg4nssvp%25FM-%EF%BF%BDNyy%EF%BF%BDPn44vr45&QO_fu146_anzr=Nv4%EF%BF%BDPn44vr45
[TRANSTATS] t=  44.2s | pag= 52 | files=   3 | data=  6 | cola= 422 | prio= 1 | https://www.transtats.bts.gov/DatabaseInfo.asp?QO_VQ=EEE&QO_anzr=Nv4%EF%BF%BDPn44vr4%EF%BF%BDf6n6v56vp5%EF%BF%BD%25FLS14z%EF%BF%BDHE%EF%BF%BDg4nssvp%25FM-%EF%BF%BDNyy%EF%BF%BDPn44vr45&QO_fu146_anzr=Nv4%EF%BF%BDPn44vr45&Yv0x=D
[TRANSTATS] DATASETS=7 | database_dataset | https://www.transtats.bts.gov/DatabaseInfo.asp?QO_VQ=EEE&QO_anzr=Nv4%EF%BF%BDPn44vr4%EF%BF%BDf6n6v56vp5%EF%BF%BD%25FLS14z%EF%BF%BDHE%EF%BF%BDg4nssvp%25FM-%EF%BF%BDNyy%EF%BF%BDPn44vr45&QO_fu146_anzr=Nv4%EF%BF%BDPn44vr45&Yv0x=D
[TRANSTATS] t=  45.0s | pag= 53 | files=   3 | data=  7 | cola= 422 | prio= 1 | https://www.transtats.bts.gov/DatabaseInfo.asp?QO_VQ=EGD&QO_anzr=Nv4%EF%BF%BDPn44vr4%EF%BF%BDf7zzn4B%EF%BF%BDQn6n%EF%BF%BD%25FLS14z%EF%BF%BDHE%EF%BF%BDn0q%EF%BF%BDFMLP%EF%BF%BDf7zzn4B%EF%BF%BDQn6n%25FM&QO_fu146_anzr=Nv4%EF%BF%BDPn44vr4%EF%BF%BDf7zzn4B&Yv0x=D
[TRANSTATS] DATASETS=8 | database_dataset | https://www.transtats.bts.gov/DatabaseInfo.asp?QO_VQ=EGD&QO_anzr=Nv4%EF%BF%BDPn44vr4%EF%BF%BDf7zzn4B%EF%BF%BDQn6n%EF%BF%BD%25FLS14z%EF%BF%BDHE%EF%BF%BDn0q%EF%BF%BDFMLP%EF%BF%BDf7zzn4B%EF%BF%BDQn6n%25FM&QO_fu146_anzr=Nv4%EF%BF%BDPn44vr4%EF%BF%BDf7zzn4B&Yv0x=D
