================================================================================
CRAWLER V2
================================================================================
Fuente: Ministerio de Minería y Metalurgia
URL configurada: https://www.mineria.gob.bo
Timeout HTTP: 10 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://www.mineria.gob.bo
  Utilizada: https://www.mineria.gob.bo/
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.mineria.gob.bo/

URL de trabajo: https://www.mineria.gob.bo/
Seeds: 1
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[FULL_42_MMYM] t=  89.4s | pag= 89 | files= 131 | data=  0 | cola= 538 | prio=50 | https://www.mineria.gob.bo/index.php/normativa-interna/page/2/
[FULL_42_MMYM] t=  90.3s | pag= 90 | files= 141 | data=  0 | cola= 539 | prio=50 | https://www.mineria.gob.bo/index.php/normativa-interna/page/3/
[FULL_42_MMYM] t=  91.2s | pag= 91 | files= 151 | data=  0 | cola= 539 | prio=50 | https://www.mineria.gob.bo/index.php/normativa-interna/page/19/
[FULL_42_MMYM] t=  91.9s | pag= 92 | files= 159 | data=  0 | cola= 540 | prio=50 | https://www.mineria.gob.bo/index.php/proveedores/page/2/
[FULL_42_MMYM] t=  92.7s | pag= 93 | files= 159 | data=  0 | cola= 541 | prio=50 | https://www.mineria.gob.bo/index.php/proveedores/page/3/
[FULL_42_MMYM] t=  93.6s | pag= 94 | files= 159 | data=  0 | cola= 540 | prio=50 | https://www.mineria.gob.bo/index.php/proveedores/page/5/
[FULL_42_MMYM] t=  94.5s | pag= 95 | files= 159 | data=  0 | cola= 539 | prio=50 | https://www.mineria.gob.bo/index.php/formulario-de-denuncias/
[FULL_42_MMYM] t=  95.3s | pag= 96 | files= 159 | data=  0 | cola= 538 | prio=50 | https://www.mineria.gob.bo/index.php/ingreso/
[FULL_42_MMYM] t=  95.8s | pag= 97 | files= 159 | data=  0 | cola= 537 | prio=50 | https://www.mineria.gob.bo/index.php/tramitev2/prueba/
[FULL_42_MMYM] t=  96.7s | pag= 98 | files= 159 | data=  0 | cola= 536 | prio=50 | https://www.mineria.gob.bo/index.php/tramitev2/certificado-de-nacimiento-agetic/
[FULL_42_MMYM] t=  97.4s | pag= 99 | files= 159 | data=  0 | cola= 535 | prio=50 | https://www.mineria.gob.bo/index.php/tramitev2/certificado-de-capacitacion-tecnologica/
[FULL_42_MMYM] t=  98.4s | pag=100 | files= 159 | data=  0 | cola= 534 | prio=50 | https://www.mineria.gob.bo/index.php/servicio/integracion-de-pasarela-de-pagos-del-estado/
[FULL_42_MMYM] t=  99.3s | pag=101 | files= 159 | data=  0 | cola= 534 | prio=50 | https://www.mineria.gob.bo/index.php/servicio/integracion-de-mecanismos-de-ciudadania-digital/
[FULL_42_MMYM] t= 100.1s | pag=102 | files= 159 | data=  0 | cola= 533 | prio=50 | https://www.mineria.gob.bo/index.php/servicio/concientizacion-en-ciberseguridad/
[FULL_42_MMYM] t= 101.1s | pag=103 | files= 159 | data=  0 | cola= 532 | prio=50 | https://www.mineria.gob.bo/index.php/servicio/alertas-y-avisos-de-seguridad-informatica/
[FULL_42_MMYM] t= 101.9s | pag=104 | files= 159 | data=  0 | cola= 531 | prio=50 | https://www.mineria.gob.bo/index.php/presupuesto/ejecucion-presupuestaria-de-gastos-al-30-de-junio-de-2026/
[FULL_42_MMYM] t= 102.8s | pag=105 | files= 159 | data=  0 | cola= 530 | prio=50 | https://www.mineria.gob.bo/index.php/presupuesto/ejecucion-presupuestaria-de-gastos-al-31-de-mayo-de-2026/
[FULL_42_MMYM] t= 103.7s | pag=106 | files= 159 | data=  0 | cola= 529 | prio=50 | https://www.mineria.gob.bo/index.php/presupuesto/ejecucion-presupuestaria-de-gastos-al-30-de-abril-de-2026/
[FULL_42_MMYM] t= 104.7s | pag=107 | files= 159 | data=  0 | cola= 528 | prio=50 | https://www.mineria.gob.bo/index.php/presupuesto/ejecucion-presupuestaria-de-gastos-al-31-de-marzo-de-2026/
[FULL_42_MMYM] t= 105.8s | pag=108 | files= 159 | data=  0 | cola= 527 | prio=50 | https://www.mineria.gob.bo/index.php/presupuesto/ejecucion-presupuestaria-de-gastos-al-28-de-febrero-de-2026/
