================================================================================
CRAWLER V2
================================================================================
Fuente: Ministerio de Desarrollo Rural y Tierras
URL configurada: https://ruralytierras.gob.bo/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://ruralytierras.gob.bo/
  Utilizada: https://ruralytierras.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://ruralytierras.gob.bo/

URL de trabajo: https://ruralytierras.gob.bo/
Seeds: 8
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[MDRYT] t=  45.6s | pag= 90 | files=  42 | data=  7 | cola= 333 | prio=15 | https://ruralytierras.gob.bo/index.php/normativa/decreto-supremo-n-2851/
[MDRYT] t=  46.0s | pag= 91 | files=  42 | data=  7 | cola= 332 | prio=15 | https://ruralytierras.gob.bo/index.php/normativa/decreto-supremo-n-2493/
[MDRYT] t=  46.6s | pag= 92 | files=  42 | data=  7 | cola= 331 | prio=15 | https://ruralytierras.gob.bo/index.php/normativa/decreto-supremo-n-1858/
[MDRYT] t=  47.0s | pag= 93 | files=  42 | data=  7 | cola= 330 | prio=15 | https://ruralytierras.gob.bo/index.php/normativa/constitucion-politica-del-estado/
[MDRYT] t=  47.4s | pag= 94 | files=  42 | data=  7 | cola= 329 | prio=15 | https://ruralytierras.gob.bo/index.php/normativa/decreto-supremo-n-1922/
[MDRYT] t=  47.8s | pag= 95 | files=  42 | data=  7 | cola= 328 | prio=15 | https://ruralytierras.gob.bo/index.php/normativa/normativa-1/
[MDRYT] t=  48.3s | pag= 96 | files=  42 | data=  7 | cola= 327 | prio=15 | https://ruralytierras.gob.bo/index.php/normativa-inter/13278/
[MDRYT] t=  48.8s | pag= 97 | files=  42 | data=  7 | cola= 326 | prio=15 | https://ruralytierras.gob.bo/index.php/documentos/resolucion-ministerial-con-el-que-se-aprueba-el-pei-2/
[MDRYT] t=  49.2s | pag= 98 | files=  42 | data=  7 | cola= 325 | prio=15 | https://ruralytierras.gob.bo/index.php/documentos/resolucion-ministerial-con-el-que-se-aprueba-el-pei/
[MDRYT] t=  49.7s | pag= 99 | files=  42 | data=  7 | cola= 324 | prio=50 | https://ruralytierras.gob.bo/index.php/servicio/financiamiento-y-apoyo-a-la-produccion-2/
[MDRYT] t=  50.2s | pag=100 | files=  42 | data=  7 | cola= 323 | prio=50 | https://ruralytierras.gob.bo/index.php/servicio/financiamiento-y-apoyo-a-la-produccion/
[MDRYT] t=  50.6s | pag=101 | files=  42 | data=  7 | cola= 322 | prio=50 | https://ruralytierras.gob.bo/index.php/servicio/gestion-y-acceso-a-la-tierra/
[MDRYT] t=  51.0s | pag=102 | files=  42 | data=  7 | cola= 321 | prio=50 | https://ruralytierras.gob.bo/index.php/lista-servicios-page
[MDRYT] t=  51.6s | pag=102 | files=  42 | data=  7 | cola= 320 | prio=50 | https://ruralytierras.gob.bo/index.php/analisis-externo-oportunidades-y-amenazas/
[MDRYT] t=  53.1s | pag=103 | files=  42 | data=  7 | cola= 319 | prio=50 | https://ruralytierras.gob.bo/index.php/analisis-interno-fortalezas-y-debilidades/
[MDRYT] t=  53.6s | pag=104 | files=  42 | data=  7 | cola= 318 | prio=50 | https://ruralytierras.gob.bo/index.php/articulos/
[MDRYT] t=  54.0s | pag=105 | files=  42 | data=  7 | cola= 317 | prio=50 | https://ruralytierras.gob.bo/index.php/banco-de-trabajo-de-investigacion/
[MDRYT] t=  54.6s | pag=106 | files=  42 | data=  7 | cola= 316 | prio=50 | https://ruralytierras.gob.bo/index.php/componentes/
[MDRYT] t=  55.0s | pag=107 | files=  43 | data=  7 | cola= 315 | prio=50 | https://ruralytierras.gob.bo/index.php/cpe/
[MDRYT] t=  55.4s | pag=108 | files=  43 | data=  7 | cola= 314 | prio=50 | https://ruralytierras.gob.bo/index.php/cursos-de-capacitacion/
[MDRYT] t=  55.9s | pag=109 | files=  43 | data=  7 | cola= 313 | prio=50 | https://ruralytierras.gob.bo/index.php/dependencia/
[MDRYT] t=  56.3s | pag=110 | files=  43 | data=  7 | cola= 312 | prio=50 | https://ruralytierras.gob.bo/index.php/descripcion-de-proyectos/
[MDRYT] t=  56.9s | pag=111 | files=  43 | data=  7 | cola= 311 | prio=50 | https://ruralytierras.gob.bo/index.php/direccion-de-correo-electronico-para-consultas-generales/
[MDRYT] t=  57.5s | pag=112 | files=  43 | data=  7 | cola= 310 | prio=50 | https://ruralytierras.gob.bo/index.php/direcciones-de-la-oficina-central-y-oficinas-regionales/
[MDRYT] t=  57.9s | pag=113 | files=  43 | data=  7 | cola= 309 | prio=50 | https://ruralytierras.gob.bo/index.php/documentos-de-convocatoria-2/
[MDRYT] t=  58.4s | pag=114 | files=  43 | data=  7 | cola= 308 | prio=50 | https://ruralytierras.gob.bo/index.php/explicacion-del-proceso-de-seleccion-que-se-llevara-a-cabo-para-cubrir-las-vacantes/
[MDRYT] t=  58.8s | pag=115 | files=  43 | data=  7 | cola= 307 | prio=50 | https://ruralytierras.gob.bo/index.php/formulario-de-inscripcion/
[MDRYT] t=  59.2s | pag=116 | files=  43 | data=  7 | cola= 306 | prio=50 | https://ruralytierras.gob.bo/index.php/funciones-y-atribuciones/
[MDRYT] t=  59.6s | pag=117 | files=  43 | data=  7 | cola= 305 | prio=50 | https://ruralytierras.gob.bo/index.php/lista-herramientas-page/
[MDRYT] t=  60.2s | pag=118 | files=  43 | data=  7 | cola= 304 | prio=50 | https://ruralytierras.gob.bo/index.php/horario-de-atencion-al-publico/
[MDRYT] t=  60.6s | pag=119 | files=  43 | data=  7 | cola= 303 | prio=50 | https://ruralytierras.gob.bo/index.php/linea-del-tiempo-que-muestra-las-fases-del-proceso-de-contratacion/
[MDRYT] t=  61.1s | pag=120 | files=  43 | data=  7 | cola= 302 | prio=50 | https://ruralytierras.gob.bo/index.php/lista-de-contratos-adjudicados-de-bienes/
[MDRYT] t=  61.6s | pag=121 | files=  43 | data=  7 | cola= 301 | prio=50 | https://ruralytierras.gob.bo/index.php/listado-de-internos-por-unidad-organizacional/
[MDRYT] t=  62.0s | pag=122 | files=  43 | data=  7 | cola= 300 | prio=50 | https://ruralytierras.gob.bo/index.php/mapa-de-ubicacion-central-y-sucursales/
[MDRYT] t=  62.4s | pag=123 | files=  43 | data=  7 | cola= 299 | prio=50 | https://ruralytierras.gob.bo/index.php/nomina-de-empresas-que-se-adjudicaron-procesos-de-contratacion-de-bienes/
[MDRYT] t=  62.9s | pag=124 | files=  43 | data=  7 | cola= 298 | prio=50 | https://ruralytierras.gob.bo/index.php/objetivo-del-area-o-unidad-organizacional/
[MDRYT] t=  63.4s | pag=125 | files=  43 | data=  7 | cola= 297 | prio=50 | https://ruralytierras.gob.bo/index.php/plan-de-trabajo-y-cronograma-de-los-proyectos/
