================================================================================
CRAWLER V2
================================================================================
Fuente: SIGMA
URL configurada: https://www.sigmacorp.com.bo/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://www.sigmacorp.com.bo/
  Utilizada: https://www.sigmacorp.com.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.sigmacorp.com.bo/

URL de trabajo: https://www.sigmacorp.com.bo/
Seeds: 1
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[SIGMA] t= 115.0s | pag=112 | files=   0 | data=  0 | cola=  54 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/antiinfecciones/antiinfecciones/hostess-suspension
[SIGMA] t= 116.3s | pag=112 | files=   0 | data=  0 | cola=  53 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/antivirales/antivirales/sigmavir
[SIGMA] t= 117.7s | pag=112 | files=   0 | data=  0 | cola=  52 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/antivirales/antivirales
[SIGMA] t= 119.3s | pag=112 | files=   0 | data=  0 | cola=  51 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/cardiologos/cardiologos/digoxina-sigma
[SIGMA] t= 120.6s | pag=112 | files=   0 | data=  0 | cola=  50 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/cardiologos/cardiologos
[SIGMA] t= 122.1s | pag=112 | files=   0 | data=  0 | cola=  49 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/cardiologos/cardiologos/sigmaspirin
[SIGMA] t= 123.6s | pag=112 | files=   0 | data=  0 | cola=  48 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/dermatologicos/dermatologicos/dermatotal-crema
[SIGMA] t= 125.0s | pag=112 | files=   0 | data=  0 | cola=  47 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/dermatologicos/dermatologicos
[SIGMA] t= 126.5s | pag=112 | files=   0 | data=  0 | cola=  46 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/dermatologicos/dermatologicos/biafine-emulsion
[SIGMA] t= 128.1s | pag=112 | files=   0 | data=  0 | cola=  45 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/gastrointestinales/gastrointestinales/acydone-gel
