================================================================================
CRAWLER V2
================================================================================
Fuente: Ministerio de Desarrollo Rural y Tierras - OAP
URL configurada: https://www.ruralytierras.gob.bo
Timeout HTTP: 10 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://www.ruralytierras.gob.bo
  Utilizada: https://ruralytierras.gob.bo/
  Fallback: sí
  Intentos: 2
    - http_error     | HTTP=500 | https://www.ruralytierras.gob.bo/
    - usable         | HTTP=200 | https://ruralytierras.gob.bo/

URL de trabajo: https://ruralytierras.gob.bo/
Seeds: 1
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[FULL_38_MDRYT_OAP] t=  94.2s | pag=103 | files=  43 | data= 12 | cola= 880 | prio=50 | https://ruralytierras.gob.bo/index.php/documentos-de-convocatoria-2/
[FULL_38_MDRYT_OAP] t=  94.7s | pag=104 | files=  43 | data= 12 | cola= 879 | prio=50 | https://ruralytierras.gob.bo/index.php/ejecucion-presupuestaria-por-categoria-programatica/
[FULL_38_MDRYT_OAP] t=  95.1s | pag=105 | files=  43 | data= 12 | cola= 878 | prio=50 | https://ruralytierras.gob.bo/index.php/ejecucion-presupuestaria-por-fuente-de-financiamiento/
[FULL_38_MDRYT_OAP] t=  95.6s | pag=106 | files=  43 | data= 12 | cola= 877 | prio=50 | https://ruralytierras.gob.bo/index.php/ejecucion-presupuestaria-por-grupo-de-gasto/
[FULL_38_MDRYT_OAP] t=  96.1s | pag=107 | files=  43 | data= 12 | cola= 876 | prio=50 | https://ruralytierras.gob.bo/index.php/ejecucion-presupuestaria-por-unidad-organizacional/
[FULL_38_MDRYT_OAP] t=  96.6s | pag=108 | files=  43 | data= 12 | cola= 875 | prio=50 | https://ruralytierras.gob.bo/index.php/explicacion-del-proceso-de-seleccion-que-se-llevara-a-cabo-para-cubrir-las-vacantes/
[FULL_38_MDRYT_OAP] t=  97.0s | pag=109 | files=  43 | data= 12 | cola= 874 | prio=50 | https://ruralytierras.gob.bo/index.php/formulario-de-inscripcion/
[FULL_38_MDRYT_OAP] t=  97.5s | pag=110 | files=  43 | data= 12 | cola= 873 | prio=50 | https://ruralytierras.gob.bo/index.php/fotografias/
[FULL_38_MDRYT_OAP] t=  98.0s | pag=111 | files=  43 | data= 12 | cola= 872 | prio=50 | https://ruralytierras.gob.bo/index.php/funciones-y-atribuciones/
[FULL_38_MDRYT_OAP] t=  98.5s | pag=112 | files=  43 | data= 12 | cola= 871 | prio=50 | https://ruralytierras.gob.bo/index.php/lista-herramientas-page/
[FULL_38_MDRYT_OAP] t=  99.0s | pag=113 | files=  43 | data= 12 | cola= 870 | prio=50 | https://ruralytierras.gob.bo/index.php/horario-de-atencion-al-publico/
[FULL_38_MDRYT_OAP] t=  99.6s | pag=114 | files=  43 | data= 12 | cola= 869 | prio=50 | https://ruralytierras.gob.bo/index.php/leyes/
[FULL_38_MDRYT_OAP] t=  99.8s | pag=115 | files=  43 | data= 12 | cola= 868 | prio=50 | https://ruralytierras.gob.bo/index.php/linea-del-tiempo-que-muestra-las-fases-del-proceso-de-contratacion/
[FULL_38_MDRYT_OAP] t= 100.3s | pag=116 | files=  43 | data= 12 | cola= 867 | prio=50 | https://ruralytierras.gob.bo/index.php/lista-de-contratos-adjudicados-de-bienes/
[FULL_38_MDRYT_OAP] t= 100.9s | pag=117 | files=  43 | data= 12 | cola= 866 | prio=50 | https://ruralytierras.gob.bo/index.php/lista-de-documentos-y-requisitos-necesarios-para-participar-en-las-convocatorias/
[FULL_38_MDRYT_OAP] t= 101.3s | pag=118 | files=  43 | data= 12 | cola= 865 | prio=50 | https://ruralytierras.gob.bo/index.php/listado-de-convocatorias-abiertas-o-proximas-a-abrirse-para-distintos-puesto-y-cargos-dentro-de-la-entidad-estatal/
[FULL_38_MDRYT_OAP] t= 101.8s | pag=119 | files=  43 | data= 12 | cola= 864 | prio=50 | https://ruralytierras.gob.bo/index.php/listado-de-internos-por-unidad-organizacional/
[FULL_38_MDRYT_OAP] t= 102.3s | pag=120 | files=  43 | data= 12 | cola= 863 | prio=50 | https://ruralytierras.gob.bo/index.php/mapa-de-ubicacion-central-y-sucursales/
[FULL_38_MDRYT_OAP] t= 102.7s | pag=121 | files=  43 | data= 12 | cola= 862 | prio=50 | https://ruralytierras.gob.bo/index.php/multimedia/
[FULL_38_MDRYT_OAP] t= 105.0s | pag=122 | files=  43 | data= 12 | cola= 861 | prio=50 | https://ruralytierras.gob.bo/index.php/nomina-de-empresas-que-se-adjudicaron-procesos-de-contratacion-de-bienes/
