================================================================================
CRAWLER V2
================================================================================
Fuente: Servicio Plurinacional de Registro de Comercio
URL configurada: https://www.seprec.gob.bo
Timeout HTTP: 10 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://www.seprec.gob.bo
  Utilizada: https://www.seprec.gob.bo/
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.seprec.gob.bo/

URL de trabajo: https://www.seprec.gob.bo/
Seeds: 1
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[FULL_47_SEPREC] t=  61.3s | pag= 61 | files= 160 | data=  1 | cola=  29 | prio=50 | https://www.seprec.gob.bo/index.php/tramite7/
[FULL_47_SEPREC] t=  62.2s | pag= 62 | files= 160 | data=  1 | cola=  28 | prio=50 | https://www.seprec.gob.bo/index.php/tramite8/
[FULL_47_SEPREC] t=  63.4s | pag= 63 | files= 160 | data=  1 | cola=  27 | prio=50 | https://www.seprec.gob.bo/index.php/tramite9/
[FULL_47_SEPREC] t=  64.3s | pag= 64 | files= 160 | data=  1 | cola=  25 | prio=50 | https://www.seprec.gob.bo/index.php/lista-servicios-page/page/2/
[FULL_47_SEPREC] t=  65.2s | pag= 65 | files= 160 | data=  1 | cola=  36 | prio=50 | https://www.seprec.gob.bo/index.php/lista-servicios-page/page/3/
[FULL_47_SEPREC] t=  66.0s | pag= 66 | files= 160 | data=  1 | cola=  46 | prio=50 | https://www.seprec.gob.bo/index.php/lista-servicios-page/page/7/
[FULL_47_SEPREC] t=  66.8s | pag= 67 | files= 160 | data=  1 | cola=  48 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/seprec-insta-a-sociedades-anonimas-a-publicar-sus-memorias-anuales-hasta-el-31-de-diciembre-de-2025/
[FULL_47_SEPREC] t=  67.6s | pag= 68 | files= 160 | data=  1 | cola=  47 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/seprec-recuerda-a-empresas-agricolas-ganaderas-gomeras-y-agroindustriales-renovar-su-matricula-de-comercio-antes-del-30-de-noviembre/
[FULL_47_SEPREC] t=  68.5s | pag= 69 | files= 160 | data=  1 | cola=  46 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/beni-potencia-su-crecimiento-empresarial-y-se-consolida-como-referente-en-la-amazonia-boliviana/
[FULL_47_SEPREC] t=  69.3s | pag= 70 | files= 160 | data=  1 | cola=  45 | prio=50 | https://www.seprec.gob.bo/index.php/comunicados-de-prensa/page/2/
[FULL_47_SEPREC] t=  70.2s | pag= 71 | files= 160 | data=  1 | cola=  55 | prio=50 | https://www.seprec.gob.bo/index.php/comunicados-de-prensa/page/3/
[FULL_47_SEPREC] t=  71.0s | pag= 72 | files= 160 | data=  1 | cola=  57 | prio=50 | https://www.seprec.gob.bo/index.php/leyes-2/page/2/
[FULL_47_SEPREC] t=  71.8s | pag= 73 | files= 162 | data=  1 | cola=  57 | prio=50 | https://www.seprec.gob.bo/index.php/normativa-interna/page/2/
[FULL_47_SEPREC] t=  72.7s | pag= 74 | files= 172 | data=  1 | cola=  58 | prio=50 | https://www.seprec.gob.bo/index.php/normativa-interna/page/3/
[FULL_47_SEPREC] t=  73.6s | pag= 75 | files= 182 | data=  1 | cola=  58 | prio=50 | https://www.seprec.gob.bo/index.php/normativa-interna/page/6/
[FULL_47_SEPREC] t=  74.3s | pag= 76 | files= 191 | data=  1 | cola=  57 | prio=50 | https://www.seprec.gob.bo/index.php/reglamentos-especificos/page/2/
[FULL_47_SEPREC] t=  75.1s | pag= 77 | files= 191 | data=  1 | cola=  57 | prio=50 | https://www.seprec.gob.bo/index.php/reglamentos-especificos/page/3/
[FULL_47_SEPREC] t=  76.0s | pag= 78 | files= 192 | data=  1 | cola=  56 | prio=50 | https://seprec.gob.bo/index.php/lista-servicios-page/
[FULL_47_SEPREC] t=  77.1s | pag= 78 | files= 192 | data=  1 | cola=  55 | prio=50 | https://www.seprec.gob.bo/index.php/tramite11/
[FULL_47_SEPREC] t=  79.0s | pag= 79 | files= 192 | data=  1 | cola=  54 | prio=50 | https://www.seprec.gob.bo/index.php/tramite12/
[FULL_47_SEPREC] t=  79.7s | pag= 80 | files= 192 | data=  1 | cola=  53 | prio=50 | https://www.seprec.gob.bo/index.php/tramite13/
[FULL_47_SEPREC] t=  80.4s | pag= 81 | files= 192 | data=  1 | cola=  52 | prio=50 | https://www.seprec.gob.bo/index.php/tramite14/
[FULL_47_SEPREC] t=  81.6s | pag= 82 | files= 192 | data=  1 | cola=  51 | prio=50 | https://www.seprec.gob.bo/index.php/tramite15/
[FULL_47_SEPREC] t=  82.3s | pag= 83 | files= 192 | data=  1 | cola=  50 | prio=50 | https://www.seprec.gob.bo/index.php/tramite16/
[FULL_47_SEPREC] t=  82.9s | pag= 84 | files= 192 | data=  1 | cola=  49 | prio=50 | https://www.seprec.gob.bo/index.php/tramite17/
[FULL_47_SEPREC] t=  83.7s | pag= 85 | files= 192 | data=  1 | cola=  48 | prio=50 | https://www.seprec.gob.bo/index.php/tramite18/
[FULL_47_SEPREC] t=  84.5s | pag= 86 | files= 192 | data=  1 | cola=  47 | prio=50 | https://www.seprec.gob.bo/index.php/tramite19/
[FULL_47_SEPREC] t=  85.1s | pag= 87 | files= 192 | data=  1 | cola=  46 | prio=50 | https://www.seprec.gob.bo/index.php/tramite20/
[FULL_47_SEPREC] t=  85.7s | pag= 88 | files= 192 | data=  1 | cola=  45 | prio=50 | https://www.seprec.gob.bo/index.php/lista-servicios-page/page/1/
[FULL_47_SEPREC] t=  86.8s | pag= 88 | files= 192 | data=  1 | cola=  44 | prio=50 | https://www.seprec.gob.bo/index.php/lista-servicios-page/page/4/
[FULL_47_SEPREC] t=  88.8s | pag= 89 | files= 192 | data=  1 | cola=  53 | prio=50 | https://www.seprec.gob.bo/index.php/tramite21/
[FULL_47_SEPREC] t=  89.6s | pag= 90 | files= 192 | data=  1 | cola=  52 | prio=50 | https://www.seprec.gob.bo/index.php/tramite22/
[FULL_47_SEPREC] t=  90.5s | pag= 91 | files= 192 | data=  1 | cola=  51 | prio=50 | https://www.seprec.gob.bo/index.php/tramite23/
[FULL_47_SEPREC] t=  91.2s | pag= 92 | files= 192 | data=  1 | cola=  50 | prio=50 | https://www.seprec.gob.bo/index.php/tramite24/
[FULL_47_SEPREC] t=  92.0s | pag= 93 | files= 192 | data=  1 | cola=  49 | prio=50 | https://www.seprec.gob.bo/index.php/tramite25/
[FULL_47_SEPREC] t=  92.7s | pag= 94 | files= 192 | data=  1 | cola=  48 | prio=50 | https://www.seprec.gob.bo/index.php/tramite26/
[FULL_47_SEPREC] t=  93.5s | pag= 95 | files= 192 | data=  1 | cola=  47 | prio=50 | https://www.seprec.gob.bo/index.php/tramite27/
[FULL_47_SEPREC] t=  94.3s | pag= 96 | files= 192 | data=  1 | cola=  46 | prio=50 | https://www.seprec.gob.bo/index.php/tramite28/
[FULL_47_SEPREC] t=  95.0s | pag= 97 | files= 192 | data=  1 | cola=  45 | prio=50 | https://www.seprec.gob.bo/index.php/tramite29/
[FULL_47_SEPREC] t=  95.9s | pag= 98 | files= 192 | data=  1 | cola=  44 | prio=50 | https://www.seprec.gob.bo/index.php/tramite30/
[FULL_47_SEPREC] t=  96.8s | pag= 99 | files= 192 | data=  1 | cola=  43 | prio=50 | https://www.seprec.gob.bo/index.php/lista-servicios-page/page/5/
[FULL_47_SEPREC] t=  97.7s | pag=100 | files= 192 | data=  1 | cola=  52 | prio=50 | https://www.seprec.gob.bo/index.php/tramite61/
[FULL_47_SEPREC] t=  98.6s | pag=101 | files= 192 | data=  1 | cola=  51 | prio=50 | https://www.seprec.gob.bo/index.php/tramite62/
[FULL_47_SEPREC] t=  99.3s | pag=102 | files= 192 | data=  1 | cola=  50 | prio=50 | https://www.seprec.gob.bo/index.php/lista-servicios-page/page/6/
[FULL_47_SEPREC] t= 100.2s | pag=103 | files= 192 | data=  1 | cola=  57 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/seprec-destaca-el-aporte-emprendedor-del-departamento-de-potosi-en-conmemoracion-a-su-aniversario/
[FULL_47_SEPREC] t= 101.0s | pag=104 | files= 192 | data=  1 | cola=  56 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/seprec-recibe-el-sello-de-inclusividad-por-promover-la-insercion-laboral-de-tutores-y-de-personas-con-discapacidad/
[FULL_47_SEPREC] t= 101.7s | pag=105 | files= 192 | data=  1 | cola=  55 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/aplicacion-movil-del-seprec-facilita-el-acceso-digital-a-servicios-empresariales/
[FULL_47_SEPREC] t= 102.5s | pag=106 | files= 192 | data=  1 | cola=  54 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/seprec-mantiene-costos-accesibles-y-estables-desde-el-inicio-de-sus-operaciones-promoviendo-la-formalizacion-empresarial-en-bolivia/
