================================================================================
CRAWLER V2
================================================================================
Fuente: FINRURAL Bolivia
URL configurada: https://www.finrural.org.bo/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://www.finrural.org.bo/
  Utilizada: https://www.finrural.org.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.finrural.org.bo/

URL de trabajo: https://www.finrural.org.bo/
Seeds: 2
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_08_FINRURAL_INDICADORES] SITEMAP | docs=0 | urls=0 | en_cola=0 | errores=2
[RETRY_08_FINRURAL_INDICADORES] t=   8.3s | pag=  0 | files=   0 | data=  0 | cola=   1 | prio= 0 | https://www.finrural.org.bo/
[RETRY_08_FINRURAL_INDICADORES] t=  69.7s | pag=  2 | files= 126 | data=  1 | cola= 100 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2022/financiera_06_2022-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  71.1s | pag=  2 | files= 126 | data=  1 | cola=  99 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2022/financiera_07_2022-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  72.6s | pag=  2 | files= 126 | data=  1 | cola=  98 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2022/financiera_08_2022-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  74.0s | pag=  2 | files= 126 | data=  1 | cola=  97 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2022/financiera_09_2022-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  75.2s | pag=  2 | files= 126 | data=  1 | cola=  96 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2022/financiera_10_2022-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  76.5s | pag=  2 | files= 126 | data=  1 | cola=  95 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2022/financiera_11_2022-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  77.7s | pag=  2 | files= 126 | data=  1 | cola=  94 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2022/financiera_12_2022-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  79.0s | pag=  2 | files= 126 | data=  1 | cola=  93 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2021/financiera_01_2021-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  80.5s | pag=  2 | files= 126 | data=  1 | cola=  92 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2021/financiera_02_2021-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  81.8s | pag=  2 | files= 126 | data=  1 | cola=  91 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2021/financiera_03_2021-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  83.0s | pag=  2 | files= 126 | data=  1 | cola=  90 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2021/financiera_04_2021-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  84.5s | pag=  2 | files= 126 | data=  1 | cola=  89 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2021/financiera_05_2021-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  85.9s | pag=  2 | files= 126 | data=  1 | cola=  88 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2021/financiera_06_2021-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  87.2s | pag=  2 | files= 126 | data=  1 | cola=  87 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2021/financiera_07_2021-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  88.4s | pag=  2 | files= 126 | data=  1 | cola=  86 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2021/financiera_08_2021-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  89.7s | pag=  2 | files= 126 | data=  1 | cola=  85 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2021/financiera_09_2021-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  90.9s | pag=  2 | files= 126 | data=  1 | cola=  84 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2021/financiera_10_2021-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  92.1s | pag=  2 | files= 126 | data=  1 | cola=  83 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2021/financiera_11_2021-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  93.2s | pag=  2 | files= 126 | data=  1 | cola=  82 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2021/financiera_12_2021-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  94.5s | pag=  2 | files= 126 | data=  1 | cola=  81 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2020/financiera_01_2020-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  95.7s | pag=  2 | files= 126 | data=  1 | cola=  80 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2020/financiera_02_2020-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  96.9s | pag=  2 | files= 126 | data=  1 | cola=  79 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2020/financiera_03_2020-pdf.sha
