================================================================================
CRAWLER V2
================================================================================
Fuente: Registro de Comercio de Bolivia
URL configurada: https://www.seprec.gob.bo/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://www.seprec.gob.bo/
  Utilizada: https://www.seprec.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.seprec.gob.bo/

URL de trabajo: https://www.seprec.gob.bo/
Seeds: 1
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_10_FUNDEMPRESA] t=  68.1s | pag= 58 | files= 160 | data=  1 | cola=  32 | prio=50 | https://www.seprec.gob.bo/index.php/tramite4/
[RETRY_10_FUNDEMPRESA] t=  69.0s | pag= 59 | files= 160 | data=  1 | cola=  31 | prio=50 | https://www.seprec.gob.bo/index.php/tramite5/
[RETRY_10_FUNDEMPRESA] t=  69.8s | pag= 60 | files= 160 | data=  1 | cola=  30 | prio=50 | https://www.seprec.gob.bo/index.php/tramite6/
[RETRY_10_FUNDEMPRESA] t=  70.5s | pag= 61 | files= 160 | data=  1 | cola=  29 | prio=50 | https://www.seprec.gob.bo/index.php/tramite7/
[RETRY_10_FUNDEMPRESA] t=  71.2s | pag= 62 | files= 160 | data=  1 | cola=  28 | prio=50 | https://www.seprec.gob.bo/index.php/tramite8/
[RETRY_10_FUNDEMPRESA] t=  72.0s | pag= 63 | files= 160 | data=  1 | cola=  27 | prio=50 | https://www.seprec.gob.bo/index.php/tramite9/
[RETRY_10_FUNDEMPRESA] t=  72.8s | pag= 64 | files= 160 | data=  1 | cola=  25 | prio=50 | https://www.seprec.gob.bo/index.php/lista-servicios-page/page/2/
[RETRY_10_FUNDEMPRESA] t=  73.6s | pag= 65 | files= 160 | data=  1 | cola=  36 | prio=50 | https://www.seprec.gob.bo/index.php/lista-servicios-page/page/3/
[RETRY_10_FUNDEMPRESA] t=  74.5s | pag= 66 | files= 160 | data=  1 | cola=  46 | prio=50 | https://www.seprec.gob.bo/index.php/lista-servicios-page/page/7/
[RETRY_10_FUNDEMPRESA] t=  75.4s | pag= 67 | files= 160 | data=  1 | cola=  48 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/seprec-insta-a-sociedades-anonimas-a-publicar-sus-memorias-anuales-hasta-el-31-de-diciembre-de-2025/
