================================================================================
CRAWLER V2
================================================================================
Fuente: Danmarks Statistik
URL configurada: https://www.dst.dk/en/Statistik/hjaelp-til-statistikbanken/api
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://www.dst.dk/en/Statistik/hjaelp-til-statistikbanken/api
  Utilizada: https://www.dst.dk/en/Statistik/hjaelp-til-statistikbanken/api
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.dst.dk/en/Statistik/hjaelp-til-statistikbanken/api

URL de trabajo: https://www.dst.dk/en/Statistik/hjaelp-til-statistikbanken/api
Seeds: 2
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_17_STATISTICS_DENMARK] SITEMAP | docs=0 | urls=0 | en_cola=0 | errores=0
[RETRY_17_STATISTICS_DENMARK] t=  63.5s | pag= 39 | files=  14 | data=  8 | cola= 314 | prio=10 | https://www.dst.dk/da/TilSalg/data-til-forskning/regler-og-datasikkerhed
[RETRY_17_STATISTICS_DENMARK] t=  64.2s | pag= 40 | files=  14 | data=  8 | cola= 315 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/regler-og-datasikkerhed/regler-for-hjemtagelse-af-analyseresultater
[RETRY_17_STATISTICS_DENMARK] DATASETS=9 | data_html_table | https://www.dst.dk/en/TilSalg/data-til-forskning/regler-og-datasikkerhed/regler-for-hjemtagelse-af-analyseresultater
[RETRY_17_STATISTICS_DENMARK] t=  64.7s | pag= 41 | files=  14 | data=  9 | cola= 317 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/om-danmarks-datavindue/kontakt-danmarks-datavindue
[RETRY_17_STATISTICS_DENMARK] t=  65.2s | pag= 42 | files=  14 | data=  9 | cola= 316 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/om-danmarks-datavindue/rammeaftale-med-deic
[RETRY_17_STATISTICS_DENMARK] DATASETS=10 | exportable_data_page | https://www.dst.dk/en/TilSalg/data-til-forskning/om-danmarks-datavindue/rammeaftale-med-deic
[RETRY_17_STATISTICS_DENMARK] t=  65.7s | pag= 43 | files=  14 | data= 10 | cola= 316 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/mikrodataordninger/om-mikrodataordninger
[RETRY_17_STATISTICS_DENMARK] t=  66.3s | pag= 44 | files=  14 | data= 10 | cola= 316 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/mikrodataordninger/priser-og-prisaftaler
[RETRY_17_STATISTICS_DENMARK] t=  66.9s | pag= 45 | files=  14 | data= 11 | cola= 316 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/mikrodataordninger/specialeordningen-til-uddannelsesinstitutioner
[RETRY_17_STATISTICS_DENMARK] t=  67.4s | pag= 46 | files=  15 | data= 12 | cola= 317 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/mikrodataordninger/prismodel
[RETRY_17_STATISTICS_DENMARK] t=  68.1s | pag= 47 | files=  15 | data= 13 | cola= 321 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/generelt-om-data/grunddatabanken
[RETRY_17_STATISTICS_DENMARK] t=  68.7s | pag= 48 | files=  15 | data= 13 | cola= 320 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/generelt-om-data/data-fra-dataleverandoerer-til-grunddatabanken
[RETRY_17_STATISTICS_DENMARK] t=  69.2s | pag= 49 | files=  15 | data= 13 | cola= 319 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/generelt-om-data/registre-og-referencetyper
[RETRY_17_STATISTICS_DENMARK] t=  69.8s | pag= 50 | files=  19 | data= 13 | cola= 333 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/generelt-om-data/dokumentation-af-data
[RETRY_17_STATISTICS_DENMARK] t=  70.4s | pag= 51 | files=  20 | data= 13 | cola= 338 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/generelt-om-data/data-fra-andre-kilder
[RETRY_17_STATISTICS_DENMARK] t=  71.2s | pag= 52 | files=  30 | data= 14 | cola= 360 | prio=10 | https://www.dst.dk/en/TilSalg/skraeddersyede-loesninger/bestil-en-opgave
[RETRY_17_STATISTICS_DENMARK] t=  71.7s | pag= 53 | files=  30 | data= 14 | cola= 363 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/projektindstilling/adgang-til-erhvervsdata
[RETRY_17_STATISTICS_DENMARK] t=  72.3s | pag= 54 | files=  30 | data= 15 | cola= 364 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/brugeradgang/brugerroller
[RETRY_17_STATISTICS_DENMARK] t=  72.8s | pag= 55 | files=  31 | data= 15 | cola= 363 | prio=10 | https://www.dst.dk/ext/33168104632/0/forskning/Databehandleraftale-(pdf)--pdf
[RETRY_17_STATISTICS_DENMARK] t=  73.6s | pag= 55 | files=  32 | data= 15 | cola= 362 | prio=10 | https://www.dst.dk/en/OmDS/kvalitet-og-styring/datasikkerhed-i-danmarks-statistik
[RETRY_17_STATISTICS_DENMARK] t=  75.4s | pag= 56 | files=  32 | data= 16 | cola= 365 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/projektindstilling/oprettelse-af-projektindstilling
[RETRY_17_STATISTICS_DENMARK] t=  76.0s | pag= 57 | files=  32 | data= 16 | cola= 364 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/projektindstilling/underskrivelse-af-projektindstilling
[RETRY_17_STATISTICS_DENMARK] t=  76.5s | pag= 58 | files=  32 | data= 16 | cola= 364 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/projektindstilling/projektbeskrivelse
[RETRY_17_STATISTICS_DENMARK] t=  77.1s | pag= 59 | files=  32 | data= 16 | cola= 363 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/projektindstilling/sammenlaegning-af-projekter
[RETRY_17_STATISTICS_DENMARK] t=  77.7s | pag= 60 | files=  32 | data= 16 | cola= 362 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/projektindstilling/populationsbeskrivelse
[RETRY_17_STATISTICS_DENMARK] t=  78.4s | pag= 61 | files=  32 | data= 16 | cola= 361 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/projektindstilling/fuldt-registerudtraek-til-offentlige-institutioner
[RETRY_17_STATISTICS_DENMARK] t=  78.9s | pag= 62 | files=  32 | data= 16 | cola= 360 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/projektindstilling/faelles-dataansvar
[RETRY_17_STATISTICS_DENMARK] t=  79.4s | pag= 63 | files=  32 | data= 16 | cola= 359 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/brugeradgang/opret-tilknytningsaftale-og-maildomaener
[RETRY_17_STATISTICS_DENMARK] t=  80.0s | pag= 64 | files=  32 | data= 16 | cola= 358 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/brugeradgang/certificering-af-brugere
[RETRY_17_STATISTICS_DENMARK] t=  80.6s | pag= 65 | files=  32 | data= 16 | cola= 358 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/databestilling/oprettelse-af-databestilling
[RETRY_17_STATISTICS_DENMARK] t=  81.1s | pag= 66 | files=  32 | data= 16 | cola= 357 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/databestilling/tilknytning-af-geografiske-data
