================================================================================
CRAWLER V2
================================================================================
Fuente: Instituto Boliviano del Cemento y el Hormig�n
URL configurada: https://www.ibch.com/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://www.ibch.com/
  Utilizada: https://www.ibch.com/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.ibch.com/

URL de trabajo: https://www.ibch.com/
Seeds: 2
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_11_IBCH] t= 131.8s | pag= 89 | files=  33 | data=  0 | cola=  92 | prio=25 | https://www.ibch.com/hormigon-premezclado/
[RETRY_11_IBCH] t= 132.9s | pag= 90 | files=  34 | data=  0 | cola=  91 | prio=25 | https://www.ibch.com/contactos/
[RETRY_11_IBCH] t= 134.2s | pag= 91 | files=  34 | data=  0 | cola=  90 | prio=25 | https://www.ibch.com/pavimentos/dossier/
[RETRY_11_IBCH] t= 135.2s | pag= 92 | files=  34 | data=  0 | cola=  89 | prio=25 | https://www.ibch.com/escritorio/
[RETRY_11_IBCH] t= 136.3s | pag= 93 | files=  34 | data=  0 | cola=  89 | prio=25 | https://www.ibch.com/registro-de-estudiante/
[RETRY_11_IBCH] t= 137.3s | pag= 94 | files=  34 | data=  0 | cola=  88 | prio=25 | https://www.ibch.com/pagina-de-registro-para-instructores/
[RETRY_11_IBCH] t= 138.3s | pag= 95 | files=  34 | data=  0 | cola=  87 | prio=25 | https://www.ibch.com/comprar/
[RETRY_11_IBCH] t= 139.6s | pag= 96 | files=  34 | data=  0 | cola=  91 | prio=25 | https://www.ibch.com/cursos/
[RETRY_11_IBCH] t= 140.8s | pag= 97 | files=  34 | data=  0 | cola=  90 | prio=25 | https://www.ibch.com/abotunel/
[RETRY_11_IBCH] t= 141.9s | pag= 98 | files=  34 | data=  0 | cola=  89 | prio=25 | https://www.ibch.com/proximos-eventos/
[RETRY_11_IBCH] t= 143.1s | pag= 99 | files=  34 | data=  0 | cola=  88 | prio=25 | https://www.ibch.com/certificaciones-aci-ibch/
[RETRY_11_IBCH] t= 144.0s | pag=100 | files=  34 | data=  0 | cola=  87 | prio=25 | https://www.ibch.com/boletin/
[RETRY_11_IBCH] t= 145.3s | pag=101 | files=  34 | data=  0 | cola=  88 | prio=10 | https://www.ibch.com/boletin/page/2/
[RETRY_11_IBCH] t= 146.5s | pag=102 | files=  34 | data=  0 | cola=  88 | prio=10 | https://www.ibch.com/boletin/page/3/
[RETRY_11_IBCH] t= 147.7s | pag=103 | files=  34 | data=  0 | cola=  87 | prio=10 | https://www.ibch.com/boletin/page/1/
[RETRY_11_IBCH] t= 149.2s | pag=103 | files=  34 | data=  0 | cola=  86 | prio=25 | https://www.ibch.com/certificado-de-tutor/
[RETRY_11_IBCH] t= 151.3s | pag=104 | files=  34 | data=  0 | cola=  85 | prio=25 | https://www.ibch.com/cart-2/
[RETRY_11_IBCH] t= 152.0s | pag=105 | files=  34 | data=  0 | cola=  84 | prio=25 | https://www.ibch.com/checkout-2/
[RETRY_11_IBCH] t= 153.0s | pag=106 | files=  34 | data=  0 | cola=  83 | prio=25 | https://www.ibch.com/about-us/nuestro-equipo/
[RETRY_11_IBCH] t= 154.1s | pag=107 | files=  34 | data=  0 | cola=  84 | prio=25 | https://www.ibch.com/about-us/en/
[RETRY_11_IBCH] t= 155.2s | pag=108 | files=  34 | data=  0 | cola=  83 | prio=25 | https://www.ibch.com/about-us/en/our-team/
[RETRY_11_IBCH] t= 156.2s | pag=109 | files=  34 | data=  0 | cola=  82 | prio=25 | https://www.ibch.com/jornadas-internacionales/
[RETRY_11_IBCH] t= 157.5s | pag=110 | files=  35 | data=  0 | cola=  87 | prio=25 | https://www.ibch.com/jornadas-internacionales/encuesta-de-satisfaccion/
[RETRY_11_IBCH] t= 158.8s | pag=111 | files=  35 | data=  0 | cola=  86 | prio=25 | https://www.ibch.com/arena-normalizada/
[RETRY_11_IBCH] t= 159.7s | pag=112 | files=  39 | data=  0 | cola=  85 | prio=25 | https://www.ibch.com/tutor-certificate-verification/
[RETRY_11_IBCH] t= 160.8s | pag=113 | files=  39 | data=  0 | cola=  84 | prio=50 | http://ibch.com/arena-normalizada
[RETRY_11_IBCH] t= 163.3s | pag=113 | files=  39 | data=  0 | cola=  83 | prio=50 | http://www.ibch.com/dipav/
[RETRY_11_IBCH] t= 165.8s | pag=113 | files=  39 | data=  0 | cola=  82 | prio=50 | https://www.ibch.com/cursos/curso-construccion-evaluacion-y-restauracion-de-pavimentos-rigidos/
[RETRY_11_IBCH] t= 168.5s | pag=113 | files=  39 | data=  0 | cola=  81 | prio=50 | http://www.ibch.com/cursos/curso-diseno-de-pavimentos-metodo-aashto-93-con-el-software-dipav-3/
[RETRY_11_IBCH] t= 171.7s | pag=113 | files=  39 | data=  0 | cola=  80 | prio=50 | https://www.ibch.com/cursos/curso-diseno-y-construccion-de-bases-de-suelo-cemento/
[RETRY_11_IBCH] t= 174.4s | pag=113 | files=  39 | data=  0 | cola=  79 | prio=50 | https://www.ibch.com/aci/tecnico-de-pruebas-en-el-hormigon-en-obra-grado-i/
[RETRY_11_IBCH] t= 177.1s | pag=113 | files=  39 | data=  0 | cola=  78 | prio=50 | https://www.ibch.com/aci/supervisor-especializado-en-obras-de-hormigon/
[RETRY_11_IBCH] t= 179.6s | pag=113 | files=  39 | data=  0 | cola=  77 | prio=50 | https://www.ibch.com/pavimentos
[RETRY_11_IBCH] t= 182.3s | pag=113 | files=  39 | data=  0 | cola=  76 | prio=50 | https://www.ibch.com/aci
[RETRY_11_IBCH] t= 184.2s | pag=113 | files=  39 | data=  0 | cola=  75 | prio=50 | https://www.ibch.com/category/cursos/
[RETRY_11_IBCH] t= 186.4s | pag=114 | files=  39 | data=  0 | cola=  74 | prio=50 | https://www.ibch.com/wp-content/uploads/miembros/soboce.html
[RETRY_11_IBCH] t= 187.4s | pag=115 | files=  39 | data=  0 | cola=  73 | prio=50 | https://www.ibch.com/wp-content/uploads/miembros/itacamba.html
[RETRY_11_IBCH] t= 187.7s | pag=116 | files=  39 | data=  0 | cola=  72 | prio=50 | https://www.ibch.com/wp-content/uploads/miembros/fancesa.html
[RETRY_11_IBCH] t= 188.3s | pag=117 | files=  39 | data=  0 | cola=  71 | prio=50 | https://www.ibch.com/sitemap-misc.html
[RETRY_11_IBCH] t= 189.2s | pag=117 | files=  39 | data=  0 | cola=  70 | prio=50 | https://www.ibch.com/wpdmcategory-sitemap.html
[RETRY_11_IBCH] t= 190.9s | pag=117 | files=  39 | data=  0 | cola=  69 | prio=50 | https://www.ibch.com/course-category-sitemap.html
[RETRY_11_IBCH] t= 192.7s | pag=117 | files=  39 | data=  0 | cola=  68 | prio=50 | https://www.ibch.com/productcat-sitemap.html
[RETRY_11_IBCH] t= 194.3s | pag=117 | files=  39 | data=  0 | cola=  67 | prio=50 | https://www.ibch.com/wpdmpro-sitemap.html
[RETRY_11_IBCH] t= 196.0s | pag=117 | files=  39 | data=  0 | cola=  66 | prio=50 | https://www.ibch.com/product-sitemap.html
[RETRY_11_IBCH] t= 197.6s | pag=117 | files=  39 | data=  0 | cola=  65 | prio=50 | https://www.ibch.com/courses-sitemap.html
[RETRY_11_IBCH] t= 199.1s | pag=117 | files=  39 | data=  0 | cola=  64 | prio=50 | https://www.ibch.com/post-sitemap.html
[RETRY_11_IBCH] t= 200.9s | pag=117 | files=  39 | data=  0 | cola=  63 | prio=50 | https://www.ibch.com/page-sitemap.html
[RETRY_11_IBCH] t= 202.8s | pag=117 | files=  39 | data=  0 | cola=  62 | prio=50 | https://www.ibch.com/categoria-producto/software/?add-to-cart=2667
[RETRY_11_IBCH] t= 204.8s | pag=118 | files=  39 | data=  0 | cola=  62 | prio=50 | https://www.ibch.com/categoria-producto/cursos/?add-to-cart=2381
[RETRY_11_IBCH] t= 205.9s | pag=119 | files=  39 | data=  0 | cola=  62 | prio=50 | https://www.ibch.com/categoria-producto/cursos/?add-to-cart=2437
