================================================================================
CRAWLER V2
================================================================================
Fuente: Federaci�n Internacional de F�tbol Asociaci�n
URL configurada: https://inside.fifa.com/en/official-documents
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://inside.fifa.com/en/official-documents
  Utilizada: https://inside.fifa.com/en/official-documents
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://inside.fifa.com/en/official-documents

URL de trabajo: https://inside.fifa.com/en/official-documents
Seeds: 3
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_07_FIFA] t= 175.0s | pag= 62 | files=  18 | data=  0 | cola=5338 | prio=10 | https://publications.fifa.com/en/annual-report-2022/governance-2022/fifa-legal-and-compliance/
[RETRY_07_FIFA] t= 177.0s | pag= 63 | files=  19 | data=  0 | cola=5342 | prio=10 | https://publications.fifa.com/en/annual-report-2022/governance-2022/foreword-of-the-chairperson-of-the-gacc/
[RETRY_07_FIFA] t= 178.8s | pag= 64 | files=  19 | data=  0 | cola=5341 | prio=10 | https://publications.fifa.com/en/annual-report-2022/governance-2022/compensation-2022/
[RETRY_07_FIFA] t= 180.7s | pag= 65 | files=  19 | data=  0 | cola=5340 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/foreword-by-the-chairperson-of-the-finance-committee/
[RETRY_07_FIFA] t= 182.1s | pag= 66 | files=  19 | data=  0 | cola=5339 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/2019-2022-cycle-in-review/2022-financial-highlights/
[RETRY_07_FIFA] t= 183.4s | pag= 67 | files=  19 | data=  0 | cola=5338 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/2019-2022-cycle-in-review/2019-2022-revenue/
[RETRY_07_FIFA] t= 184.7s | pag= 68 | files=  19 | data=  0 | cola=5337 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/2019-2022-cycle-in-review/2019-2022-investments-expenses/
[RETRY_07_FIFA] t= 186.1s | pag= 69 | files=  21 | data=  0 | cola=5336 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/2019-2022-cycle-in-review/balance-sheet-2019-2022/
[RETRY_07_FIFA] t= 186.9s | pag= 70 | files=  21 | data=  0 | cola=5335 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/2019-2022-cycle-in-review/2019-2022-budget-comparison/
[RETRY_07_FIFA] t= 188.6s | pag= 71 | files=  21 | data=  0 | cola=5334 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/2023-2026-cycle-budget-and-2024-detailed-budget/
[RETRY_07_FIFA] t= 190.0s | pag= 72 | files=  21 | data=  0 | cola=5333 | prio=10 | https://publications.fifa.com/en/annual-report-2022/finances/finance/consolidated-statement-of-comprehensive-income-2022/
