================================================================================
CRAWLER V2
================================================================================
Fuente: C�mara de Exportadores de Cochabamba
URL configurada: https://cadexco.bo/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://cadexco.bo/
  Utilizada: https://cadexco.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://cadexco.bo/

URL de trabajo: https://cadexco.bo/
Seeds: 1
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_02_CADEXCO] SITEMAP | docs=6 | urls=215 | en_cola=214 | errores=0
[RETRY_02_CADEXCO] t= 154.4s | pag= 82 | files=  16 | data=  0 | cola= 322 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2/
[RETRY_02_CADEXCO] t= 155.7s | pag= 83 | files=  16 | data=  0 | cola= 321 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2/
[RETRY_02_CADEXCO] t= 157.7s | pag= 84 | files=  16 | data=  0 | cola= 320 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2/
[RETRY_02_CADEXCO] t= 159.7s | pag= 85 | files=  16 | data=  0 | cola= 319 | prio=25 | https://cadexco.bo/evento/expoalimenta-2/
[RETRY_02_CADEXCO] t= 161.4s | pag= 86 | files=  16 | data=  0 | cola= 319 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2/
[RETRY_02_CADEXCO] t= 163.5s | pag= 87 | files=  16 | data=  0 | cola= 318 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2/
[RETRY_02_CADEXCO] t= 165.4s | pag= 88 | files=  16 | data=  0 | cola= 317 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-3/
[RETRY_02_CADEXCO] t= 166.8s | pag= 89 | files=  16 | data=  0 | cola= 316 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-3-2/
[RETRY_02_CADEXCO] t= 168.4s | pag= 90 | files=  16 | data=  0 | cola= 315 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-3-2-2/
[RETRY_02_CADEXCO] t= 170.3s | pag= 91 | files=  16 | data=  0 | cola= 314 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-3-2-2-2/
[RETRY_02_CADEXCO] t= 171.8s | pag= 92 | files=  16 | data=  0 | cola= 313 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-3-2-2-2-2/
[RETRY_02_CADEXCO] t= 173.6s | pag= 93 | files=  16 | data=  0 | cola= 312 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-3-2-2-2-2-2/
[RETRY_02_CADEXCO] t= 175.4s | pag= 94 | files=  16 | data=  0 | cola= 311 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-3-2-2-2-2-2-2/
[RETRY_02_CADEXCO] t= 176.9s | pag= 95 | files=  16 | data=  0 | cola= 310 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-3-2-2-2-2-2-2-2/
[RETRY_02_CADEXCO] t= 178.8s | pag= 96 | files=  16 | data=  0 | cola= 309 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-3-2-2-2-2-2-2-2-2/
[RETRY_02_CADEXCO] t= 180.7s | pag= 97 | files=  16 | data=  0 | cola= 308 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-3-2-2-2-2-2-2-2-2-2/
[RETRY_02_CADEXCO] t= 182.4s | pag= 98 | files=  16 | data=  0 | cola= 307 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-3-2-2-2-2-2-2-2-2-2-2/
[RETRY_02_CADEXCO] t= 184.1s | pag= 99 | files=  16 | data=  0 | cola= 306 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-3-2-2-2-2-2-2-2-2-2-2-2/
[RETRY_02_CADEXCO] t= 185.9s | pag=100 | files=  16 | data=  0 | cola= 305 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-3-2-2-2-2-2-2-2-2-3/
[RETRY_02_CADEXCO] t= 187.7s | pag=101 | files=  16 | data=  0 | cola= 304 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-3-2-2-2-2-2-2-2-2-3-2/
[RETRY_02_CADEXCO] t= 189.3s | pag=102 | files=  16 | data=  0 | cola= 303 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-3-2-2-2-2-2-2-2-2-3-3/
[RETRY_02_CADEXCO] t= 191.0s | pag=103 | files=  16 | data=  0 | cola= 302 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-3-2-2-2-2-2-2-2-2-3-4/
