================================================================================
CRAWLER V2
================================================================================
Fuente: ASFI / FINRURAL
URL configurada: https://www.asfi.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s
Verificación TLS: activa


Resolución de fuente:
  Original: https://www.asfi.gob.bo/
  Utilizada: https://www.asfi.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.asfi.gob.bo/

URL de trabajo: https://www.asfi.gob.bo/
Seeds: 2
Máx páginas: 5000
Máx archivos: 100000
Máx profundidad: 12
Sitemaps: activo
Máx URLs sitemap: 10000

[ASFI_FINRURAL] t= 110.5s | pag=115 | files= 603 | data=  2 | cola= 216 | prio=50 | https://www.asfi.gob.bo/pb/programa-anual-contrataciones
[ASFI_FINRURAL] t= 111.2s | pag=116 | files= 605 | data=  2 | cola= 215 | prio=50 | https://www.asfi.gob.bo/la/normativa-internacional
[ASFI_FINRURAL] t= 111.8s | pag=117 | files= 605 | data=  2 | cola= 214 | prio=50 | https://www.asfi.gob.bo/pb/reglamentos-vigentes
[ASFI_FINRURAL] t= 112.3s | pag=118 | files= 613 | data=  2 | cola= 213 | prio=50 | https://www.asfi.gob.bo/pb/servicios-financieros
[ASFI_FINRURAL] t= 113.2s | pag=119 | files= 614 | data=  2 | cola= 214 | prio=10 | https://www.asfi.gob.bo/node/402
[ASFI_FINRURAL] t= 113.6s | pag=120 | files= 615 | data=  2 | cola= 213 | prio=50 | https://www.asfi.gob.bo/pb/registro-suscriptores-al-servicio-comunicacion
[ASFI_FINRURAL] t= 114.1s | pag=121 | files= 615 | data=  2 | cola= 212 | prio=50 | https://www.asfi.gob.bo/pb/legislacion-y-disposiciones-para-regulados
[ASFI_FINRURAL] t= 115.0s | pag=122 | files= 615 | data=  2 | cola= 218 | prio=50 | https://www.asfi.gob.bo/pb/decretos
[ASFI_FINRURAL] t= 116.3s | pag=123 | files= 692 | data=  2 | cola= 217 | prio=50 | https://www.asfi.gob.bo/pb/normativa-nacional
[ASFI_FINRURAL] t= 117.3s | pag=124 | files= 709 | data=  2 | cola= 216 | prio=50 | https://www.asfi.gob.bo/pb/registro-y-seguimiento-reclamos
[ASFI_FINRURAL] t= 118.2s | pag=125 | files= 709 | data=  2 | cola= 215 | prio=50 | https://www.asfi.gob.bo/la/derechos-del-consumidor-financiero
[ASFI_FINRURAL] t= 119.0s | pag=126 | files= 709 | data=  2 | cola= 214 | prio=50 | https://www.asfi.gob.bo/la/cajeros-automaticos-para-personas-discapacidad
[ASFI_FINRURAL] t= 119.6s | pag=127 | files= 711 | data=  2 | cola= 213 | prio=50 | https://www.asfi.gob.bo/la/lineamientos-para-enif
[ASFI_FINRURAL] t= 120.3s | pag=128 | files= 712 | data=  2 | cola= 212 | prio=50 | https://asfidigital.asfi.gob.bo/inicio
[ASFI_FINRURAL] t= 121.6s | pag=129 | files= 712 | data=  2 | cola= 211 | prio=50 | https://www.asfi.gob.bo/pb/contratos-modelo-para-servicios-financieros
[ASFI_FINRURAL] t= 122.1s | pag=130 | files= 712 | data=  2 | cola= 210 | prio=50 | https://asfi.gob.bo/la/tarifarios
[ASFI_FINRURAL] DATASETS=3 | data_html_table | https://asfi.gob.bo/la/tarifarios
[ASFI_FINRURAL] t= 145.4s | pag=131 | files= 730 | data=  3 | cola= 295 | prio= 2 | https://asfi.gob.bo/la/mercado-valores
[ASFI_FINRURAL] t= 145.9s | pag=132 | files= 730 | data=  3 | cola= 294 | prio= 2 | https://asfi.gob.bo/pb/publicaciones-0
[ASFI_FINRURAL] t= 146.7s | pag=133 | files= 730 | data=  3 | cola= 295 | prio= 2 | https://asfi.gob.bo/pb/publicaciones-1
[ASFI_FINRURAL] t= 147.1s | pag=134 | files= 730 | data=  3 | cola= 297 | prio= 2 | https://asfi.gob.bo/pb/registro-mercado-valores
[ASFI_FINRURAL] t= 147.7s | pag=135 | files= 730 | data=  3 | cola= 298 | prio= 2 | https://asfi.gob.bo/pb/publicaciones-2
[ASFI_FINRURAL] t= 148.2s | pag=136 | files= 730 | data=  3 | cola= 302 | prio= 2 | https://asfi.gob.bo/pb/estadisticas-intermediacion-financiera
[ASFI_FINRURAL] t= 148.6s | pag=137 | files= 730 | data=  3 | cola= 312 | prio= 2 | https://asfi.gob.bo/pb/estadisticas-mercado-valores
[ASFI_FINRURAL] t= 149.5s | pag=138 | files= 730 | data=  3 | cola= 316 | prio= 2 | https://asfi.gob.bo/pb/datos-sobre-reclamos-y-consultas-atendidas
[ASFI_FINRURAL] t= 150.3s | pag=139 | files= 730 | data=  3 | cola= 317 | prio= 2 | https://asfi.gob.bo/la/estadisticas-sobre-supervision-legitimacion-ganancias-ilicitas-y-financiamiento-del-terrorismo
[ASFI_FINRURAL] DATASETS=4 | data_html_table | https://asfi.gob.bo/la/estadisticas-sobre-supervision-legitimacion-ganancias-ilicitas-y-financiamiento-del-terrorismo
[ASFI_FINRURAL] t= 150.9s | pag=140 | files= 733 | data=  4 | cola= 316 | prio= 2 | https://asfi.gob.bo/pb/boletines-estadisticos
