================================================================================
CRAWLER V2
================================================================================
Fuente: Autoridad de Supervisión del Sistema Financiero - Mercado de Valores
URL configurada: https://www.asfi.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s
Verificación TLS: activa


Resolución de fuente:
  Original: https://www.asfi.gob.bo/
  Utilizada: https://www.asfi.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.asfi.gob.bo/

URL de trabajo: https://www.asfi.gob.bo/
Seeds: 2
Máx páginas: 5000
Máx archivos: 100000
Máx profundidad: 12
Sitemaps: activo
Máx URLs sitemap: 10000

[ASFI_VALORES] t= 102.0s | pag=107 | files= 531 | data=  2 | cola= 220 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=0
[ASFI_VALORES] t= 102.8s | pag=108 | files= 531 | data=  2 | cola= 219 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=3
[ASFI_VALORES] t= 103.4s | pag=109 | files= 541 | data=  2 | cola= 219 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=9
[ASFI_VALORES] t= 104.3s | pag=110 | files= 551 | data=  2 | cola= 218 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=8
[ASFI_VALORES] t= 105.0s | pag=111 | files= 561 | data=  2 | cola= 218 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=4
[ASFI_VALORES] t= 105.8s | pag=112 | files= 571 | data=  2 | cola= 218 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=7
[ASFI_VALORES] t= 106.2s | pag=113 | files= 581 | data=  2 | cola= 218 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=5
[ASFI_VALORES] t= 107.0s | pag=114 | files= 591 | data=  2 | cola= 217 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=6
[ASFI_VALORES] t= 107.7s | pag=115 | files= 601 | data=  2 | cola= 216 | prio=50 | https://www.asfi.gob.bo/proveedores
[ASFI_VALORES] t= 108.3s | pag=116 | files= 603 | data=  2 | cola= 215 | prio=50 | https://www.asfi.gob.bo/pb/programa-anual-contrataciones
[ASFI_VALORES] t= 109.0s | pag=117 | files= 605 | data=  2 | cola= 214 | prio=50 | https://www.asfi.gob.bo/la/normativa-internacional
[ASFI_VALORES] t= 109.9s | pag=118 | files= 605 | data=  2 | cola= 213 | prio=50 | https://www.asfi.gob.bo/pb/reglamentos-vigentes
[ASFI_VALORES] t= 110.6s | pag=119 | files= 613 | data=  2 | cola= 212 | prio=50 | https://www.asfi.gob.bo/pb/servicios-financieros
[ASFI_VALORES] t= 111.1s | pag=120 | files= 614 | data=  2 | cola= 213 | prio=10 | https://www.asfi.gob.bo/node/402
[ASFI_VALORES] t= 111.6s | pag=121 | files= 615 | data=  2 | cola= 212 | prio=50 | https://www.asfi.gob.bo/pb/registro-suscriptores-al-servicio-comunicacion
[ASFI_VALORES] t= 112.2s | pag=122 | files= 615 | data=  2 | cola= 211 | prio=50 | https://www.asfi.gob.bo/pb/legislacion-y-disposiciones-para-regulados
[ASFI_VALORES] t= 113.0s | pag=123 | files= 615 | data=  2 | cola= 217 | prio=50 | https://www.asfi.gob.bo/pb/decretos
[ASFI_VALORES] t= 114.8s | pag=124 | files= 692 | data=  2 | cola= 216 | prio=50 | https://www.asfi.gob.bo/pb/normativa-nacional
[ASFI_VALORES] t= 115.4s | pag=125 | files= 709 | data=  2 | cola= 215 | prio=50 | https://www.asfi.gob.bo/pb/registro-y-seguimiento-reclamos
[ASFI_VALORES] t= 116.2s | pag=126 | files= 709 | data=  2 | cola= 214 | prio=50 | https://www.asfi.gob.bo/la/derechos-del-consumidor-financiero
[ASFI_VALORES] t= 117.1s | pag=127 | files= 709 | data=  2 | cola= 213 | prio=50 | https://www.asfi.gob.bo/la/cajeros-automaticos-para-personas-discapacidad
[ASFI_VALORES] t= 117.7s | pag=128 | files= 711 | data=  2 | cola= 212 | prio=50 | https://www.asfi.gob.bo/la/lineamientos-para-enif
[ASFI_VALORES] t= 118.6s | pag=129 | files= 712 | data=  2 | cola= 211 | prio=50 | https://asfidigital.asfi.gob.bo/inicio
[ASFI_VALORES] t= 119.4s | pag=130 | files= 712 | data=  2 | cola= 210 | prio=50 | https://www.asfi.gob.bo/pb/contratos-modelo-para-servicios-financieros
[ASFI_VALORES] t= 120.2s | pag=131 | files= 712 | data=  2 | cola= 209 | prio=50 | https://asfi.gob.bo/la/tarifarios
[ASFI_VALORES] DATASETS=3 | data_html_table | https://asfi.gob.bo/la/tarifarios
[ASFI_VALORES] t= 143.1s | pag=132 | files= 730 | data=  3 | cola= 294 | prio= 2 | https://asfi.gob.bo/la/mercado-valores
[ASFI_VALORES] t= 143.8s | pag=133 | files= 730 | data=  3 | cola= 293 | prio= 2 | https://asfi.gob.bo/pb/publicaciones-0
[ASFI_VALORES] t= 144.2s | pag=134 | files= 730 | data=  3 | cola= 294 | prio= 2 | https://asfi.gob.bo/pb/publicaciones-1
[ASFI_VALORES] t= 144.7s | pag=135 | files= 730 | data=  3 | cola= 296 | prio= 2 | https://asfi.gob.bo/pb/registro-mercado-valores
[ASFI_VALORES] t= 145.5s | pag=136 | files= 730 | data=  3 | cola= 297 | prio= 2 | https://asfi.gob.bo/pb/publicaciones-2
