================================================================================
CRAWLER V2
================================================================================
Fuente: Banco Central de Bolivia
URL configurada: https://www.bcb.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s
Verificación TLS: activa


Resolución de fuente:
  Original: https://www.bcb.gob.bo/
  Utilizada: https://www.bcb.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.bcb.gob.bo/

URL de trabajo: https://www.bcb.gob.bo/
Seeds: 1
Máx páginas: 5000
Máx archivos: 100000
Máx profundidad: 12
Sitemaps: activo
Máx URLs sitemap: 10000

[BCB] t= 488.1s | pag= 90 | files=1541 | data=  6 | cola= 210 | prio= 2 | https://www.bcb.gob.bo/?page=10&q=moneda-mercado-semanal
[BCB] t= 489.7s | pag= 91 | files=1551 | data=  6 | cola= 210 | prio= 2 | https://www.bcb.gob.bo/?page=11&q=moneda-mercado-semanal
[BCB] t= 490.9s | pag= 92 | files=1561 | data=  6 | cola= 210 | prio= 2 | https://www.bcb.gob.bo/?page=12&q=moneda-mercado-semanal
[BCB] t= 492.1s | pag= 93 | files=1571 | data=  6 | cola= 210 | prio= 2 | https://www.bcb.gob.bo/?page=109&q=moneda-mercado-semanal
[BCB] t= 493.4s | pag= 94 | files=1576 | data=  6 | cola= 209 | prio= 2 | https://www.bcb.gob.bo/?page=102&q=moneda-mercado-semanal
[BCB] t= 494.7s | pag= 95 | files=1586 | data=  6 | cola= 212 | prio= 2 | https://www.bcb.gob.bo/?page=103&q=moneda-mercado-semanal
[BCB] t= 496.1s | pag= 96 | files=1596 | data=  6 | cola= 211 | prio= 2 | https://www.bcb.gob.bo/?page=104&q=moneda-mercado-semanal
[BCB] t= 497.6s | pag= 97 | files=1603 | data=  6 | cola= 210 | prio= 2 | https://www.bcb.gob.bo/?page=105&q=moneda-mercado-semanal
[BCB] t= 499.3s | pag= 98 | files=1612 | data=  6 | cola= 209 | prio= 2 | https://www.bcb.gob.bo/?page=106&q=moneda-mercado-semanal
[BCB] t= 500.9s | pag= 99 | files=1622 | data=  6 | cola= 208 | prio= 2 | https://www.bcb.gob.bo/?page=107&q=moneda-mercado-semanal
[BCB] t= 502.5s | pag=100 | files=1632 | data=  6 | cola= 207 | prio= 2 | https://www.bcb.gob.bo/?page=108&q=moneda-mercado-semanal
[BCB] t= 503.7s | pag=101 | files=1642 | data=  6 | cola= 206 | prio= 2 | https://www.bcb.gob.bo/?page=9&q=boletines-mensuales
[BCB] t= 505.0s | pag=102 | files=1654 | data=  6 | cola= 205 | prio= 2 | https://www.bcb.gob.bo/?page=10&q=boletines-mensuales
[BCB] t= 506.5s | pag=103 | files=1666 | data=  6 | cola= 204 | prio= 2 | https://www.bcb.gob.bo/?page=11&q=boletines-mensuales
[BCB] t= 508.0s | pag=104 | files=1678 | data=  6 | cola= 203 | prio= 2 | https://www.bcb.gob.bo/?page=12&q=boletines-mensuales
[BCB] t= 509.5s | pag=105 | files=1690 | data=  6 | cola= 202 | prio= 2 | https://www.bcb.gob.bo/?page=18&q=boletines-mensuales
[BCB] t= 510.7s | pag=106 | files=1702 | data=  6 | cola= 201 | prio= 2 | https://www.bcb.gob.bo/?page=13&q=boletines-mensuales
[BCB] t= 512.5s | pag=107 | files=1714 | data=  6 | cola= 200 | prio= 2 | https://www.bcb.gob.bo/?page=14&q=boletines-mensuales
[BCB] t= 514.0s | pag=108 | files=1726 | data=  6 | cola= 199 | prio= 2 | https://www.bcb.gob.bo/?page=15&q=boletines-mensuales
[BCB] t= 515.3s | pag=109 | files=1738 | data=  6 | cola= 198 | prio= 2 | https://www.bcb.gob.bo/?page=16&q=boletines-mensuales
[BCB] t= 516.6s | pag=110 | files=1750 | data=  6 | cola= 197 | prio= 2 | https://www.bcb.gob.bo/?page=17&q=boletines-mensuales
[BCB] t= 518.1s | pag=111 | files=1762 | data=  6 | cola= 196 | prio= 2 | https://www.bcb.gob.bo/?page=9&q=reporte-estadistico
[BCB] t= 519.4s | pag=112 | files=1783 | data=  6 | cola= 195 | prio= 2 | https://www.bcb.gob.bo/?page=10&q=reporte-estadistico
[BCB] t= 521.0s | pag=113 | files=1803 | data=  6 | cola= 194 | prio= 2 | https://www.bcb.gob.bo/?page=11&q=reporte-estadistico
[BCB] t= 522.2s | pag=114 | files=1823 | data=  6 | cola= 193 | prio= 2 | https://www.bcb.gob.bo/?page=12&q=reporte-estadistico
[BCB] t= 523.7s | pag=115 | files=1843 | data=  6 | cola= 192 | prio= 2 | https://www.bcb.gob.bo/?page=15&q=reporte-estadistico
[BCB] t= 525.1s | pag=116 | files=1853 | data=  6 | cola= 191 | prio= 2 | https://www.bcb.gob.bo/?page=13&q=reporte-estadistico
[BCB] t= 526.5s | pag=117 | files=1870 | data=  6 | cola= 190 | prio= 2 | https://www.bcb.gob.bo/?page=14&q=reporte-estadistico
[BCB] t= 527.8s | pag=118 | files=1880 | data=  6 | cola= 189 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 529.4s | pag=119 | files=1880 | data=  6 | cola= 188 | prio= 2 | https://www.bcb.gob.bo/?page=2&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 530.9s | pag=120 | files=1880 | data=  6 | cola= 187 | prio= 2 | https://www.bcb.gob.bo/?page=3&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 532.6s | pag=121 | files=1880 | data=  6 | cola= 186 | prio= 2 | https://www.bcb.gob.bo/?page=4&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 534.3s | pag=122 | files=1880 | data=  6 | cola= 185 | prio= 2 | https://www.bcb.gob.bo/?page=5&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 535.8s | pag=123 | files=1880 | data=  6 | cola= 185 | prio= 2 | https://www.bcb.gob.bo/?page=6&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 537.2s | pag=124 | files=1880 | data=  6 | cola= 185 | prio= 2 | https://www.bcb.gob.bo/?page=7&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 538.8s | pag=125 | files=1880 | data=  6 | cola= 185 | prio= 2 | https://www.bcb.gob.bo/?page=8&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 540.0s | pag=126 | files=1880 | data=  6 | cola= 185 | prio= 2 | https://www.bcb.gob.bo/?page=18&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 541.5s | pag=127 | files=1880 | data=  6 | cola= 189 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 542.9s | pag=128 | files=1880 | data=  6 | cola= 188 | prio= 2 | https://www.bcb.gob.bo/?page=2&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 544.2s | pag=129 | files=1880 | data=  6 | cola= 187 | prio= 2 | https://www.bcb.gob.bo/?page=3&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 545.6s | pag=130 | files=1880 | data=  6 | cola= 186 | prio= 2 | https://www.bcb.gob.bo/?page=4&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 547.4s | pag=131 | files=1880 | data=  6 | cola= 185 | prio= 2 | https://www.bcb.gob.bo/?page=5&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 549.0s | pag=132 | files=1880 | data=  6 | cola= 185 | prio= 2 | https://www.bcb.gob.bo/?page=6&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 550.7s | pag=133 | files=1880 | data=  6 | cola= 185 | prio= 2 | https://www.bcb.gob.bo/?page=7&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 552.0s | pag=134 | files=1880 | data=  6 | cola= 185 | prio= 2 | https://www.bcb.gob.bo/?page=8&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 553.5s | pag=135 | files=1880 | data=  6 | cola= 185 | prio= 2 | https://www.bcb.gob.bo/?page=18&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 555.1s | pag=136 | files=1880 | data=  6 | cola= 189 | prio= 2 | https://www.bcb.gob.bo/?page=9&q=indicadores_inflacion
[BCB] t= 556.4s | pag=137 | files=1880 | data=  6 | cola= 188 | prio= 2 | https://www.bcb.gob.bo/?page=10&q=indicadores_inflacion
[BCB] t= 558.0s | pag=138 | files=1880 | data=  6 | cola= 187 | prio= 2 | https://www.bcb.gob.bo/?page=11&q=indicadores_inflacion
[BCB] t= 559.3s | pag=139 | files=1880 | data=  6 | cola= 186 | prio= 2 | https://www.bcb.gob.bo/?page=12&q=indicadores_inflacion
[BCB] t= 560.8s | pag=140 | files=1880 | data=  6 | cola= 185 | prio= 2 | https://www.bcb.gob.bo/?page=17&q=indicadores_inflacion
[BCB] t= 562.3s | pag=141 | files=1880 | data=  6 | cola= 184 | prio= 2 | https://www.bcb.gob.bo/?page=13&q=indicadores_inflacion
[BCB] t= 563.5s | pag=142 | files=1880 | data=  6 | cola= 183 | prio= 2 | https://www.bcb.gob.bo/?page=14&q=indicadores_inflacion
[BCB] t= 565.0s | pag=143 | files=1880 | data=  6 | cola= 182 | prio= 2 | https://www.bcb.gob.bo/?page=15&q=indicadores_inflacion
[BCB] t= 566.8s | pag=144 | files=1880 | data=  6 | cola= 181 | prio= 2 | https://www.bcb.gob.bo/?page=16&q=indicadores_inflacion
[BCB] t= 568.5s | pag=145 | files=1880 | data=  6 | cola= 180 | prio= 2 | https://www.bcb.gob.bo/?page=13&q=moneda-mercado-semanal
[BCB] t= 569.7s | pag=146 | files=1890 | data=  6 | cola= 180 | prio= 2 | https://www.bcb.gob.bo/?page=14&q=moneda-mercado-semanal
[BCB] t= 571.2s | pag=147 | files=1900 | data=  6 | cola= 180 | prio= 2 | https://www.bcb.gob.bo/?page=15&q=moneda-mercado-semanal
[BCB] t= 572.7s | pag=148 | files=1910 | data=  6 | cola= 180 | prio= 2 | https://www.bcb.gob.bo/?page=16&q=moneda-mercado-semanal
[BCB] t= 574.4s | pag=149 | files=1920 | data=  6 | cola= 180 | prio= 2 | https://www.bcb.gob.bo/?page=101&q=moneda-mercado-semanal
[BCB] t= 576.1s | pag=150 | files=1930 | data=  6 | cola= 180 | prio= 2 | https://www.bcb.gob.bo/?page=98&q=moneda-mercado-semanal
[BCB] t= 577.2s | pag=151 | files=1940 | data=  6 | cola= 182 | prio= 2 | https://www.bcb.gob.bo/?page=99&q=moneda-mercado-semanal
[BCB] t= 578.7s | pag=152 | files=1946 | data=  6 | cola= 181 | prio= 2 | https://www.bcb.gob.bo/?page=100&q=moneda-mercado-semanal
[BCB] t= 579.9s | pag=153 | files=1956 | data=  6 | cola= 180 | prio= 2 | https://www.bcb.gob.bo/?page=9&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
